Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
5000.0,chalet,94.0,2,2,37.3733756,-3.7134359,"calle San Antonio, 4"
6200.0,chalet,62.0,3,1,36.9073092,-3.0958426,calle Real
6300.0,flat,88.0,3,1,37.8089134,-2.5407755,Huéscar
7500.0,countryHouse,30.0,0,0,36.9705887,-3.494072,camino Lecrin s/n
8800.0,chalet,156.0,3,1,37.3913467,-3.5309879,calle del Doctor Vilchez Romero
9900.0,chalet,104.0,3,2,37.5578192,-3.4002204,calle Alhambra
9900.0,chalet,114.0,1,1,37.0006567,-3.9932755,calle Barranco
9900.0,chalet,66.0,3,1,37.0030068,-3.9919153,calle la Cruz
10000.0,chalet,74.0,1,0,36.9748152,-3.1911068,"cuesta de la Platera, 55"
10000.0,chalet,60.0,4,1,37.5746148,-3.5050163,calle Alta
10000.0,chalet,184.0,2,2,36.9743697,-3.1915631,"calle Baja Panadería, 64 -48"
10000.0,chalet,80.0,2,1,37.1730637,-2.9509666,calle San Anton
10000.0,chalet,60.0,4,1,37.5733266,-3.5056113,Montejicar
10000.0,countryHouse,55.0,4,1,37.8110669,-2.5413279,"calle Abades, 12"
10000.0,countryHouse,178.0,0,0,37.89265,-2.63718,"calle Canal de San Clemente, 1"
10000.0,chalet,118.0,1,1,37.1625139,-3.4458458,calle Orilla Perales
10000.0,countryHouse,90.0,5,2,37.89232,-2.64025,"calle Canal de San Clemente, 46"
10900.0,chalet,66.0,2,0,37.3737305,-3.7130869,Colomera
11000.0,chalet,70.0,1,1,37.2168789,-4.1372335,A-4154
11800.0,chalet,122.0,4,2,37.8108432,-2.5401523,Huéscar
12000.0,chalet,100.0,3,0,37.5264117,-2.7448021,"calle Londres, 10"
12000.0,countryHouse,80.0,1,0,36.9090861,-3.1796456,"carretera cadiar murtas, 7"
12400.0,chalet,122.0,3,2,37.5045074,-3.2307032,calle Padre Manjon
12500.0,countryHouse,80.0,5,0,37.3715752,-3.2189847,"calle Mochilas, 374"
13000.0,chalet,114.0,2,1,37.1653022,-4.1574411,Loja
13000.0,chalet,223.0,5,1,37.4898028,-2.7690905,Baza
13000.0,chalet,94.0,1,1,37.1890073,-3.7195783,calle Cruces
13900.0,chalet,92.0,2,1,37.5565193,-3.4010989,"plaza de España, 1"
14000.0,countryHouse,78.0,4,0,37.656963,-2.7708674,"calle San Jose, 16"
14900.0,chalet,183.0,2,1,37.3221468,-4.012163,"calle Carmen, 20"
15000.0,chalet,94.0,1,1,37.5015699,-3.2287063,calle Guadix
