precio,tipo_propiedad,superficie,habitaciones,baños,latitud,longitud,ubicacion,precio_m2,densidad_habitaciones
5800.0,casa_rural,168.0,4,1,37.1184907,-2.5389597,el almendral s/n,34.523809523809526,0.023809523809523808
9000.0,chalet,60.0,2,1,37.3534307,-2.2984668,calle San Antonio,150.0,0.03333333333333333
9500.0,chalet,115.0,3,1,37.354983,-2.2966074,Olula del Río,82.6086956521739,0.02608695652173913
9900.0,chalet,81.0,3,2,37.0386853,-2.7446748,"calle Lucero, 3",122.22222222222223,0.037037037037037035
10000.0,piso,45.0,2,1,36.8407065,-2.4765117,calle Juan Goytisolo,222.22222222222223,0.044444444444444446
10000.0,chalet,100.0,3,0,37.3487917,-2.0757487,El Arroyo Aceituno s/n,100.0,0.03
10500.0,chalet,56.0,2,1,37.0091894,-2.7413277,avenida de las Alpujarras,187.5,0.03571428571428571
12000.0,piso,39.0,2,1,36.8390226,-2.474336,calle Juan Goytisolo,307.6923076923077,0.05128205128205128
12000.0,piso,39.0,2,1,36.838255,-2.4766922,calle Juan Goytisolo,307.6923076923077,0.05128205128205128
12000.0,casa_rural,90.0,0,0,37.186,-2.20265,"calle la de Fuentecilla, 5",133.33333333333334,0.0
13000.0,casa_rural,150.0,9,1,37.2611514,-2.2104687,"Ds Taller 1 Es: E PI : 00 PT:01 polígono 5 parcela 261 DI0700100WG72A, 1",86.66666666666667,0.06
13500.0,chalet,128.0,2,1,37.3316279,-2.3024268,"calle Rubio, 19",105.46875,0.015625
13900.0,piso,150.0,4,2,37.2960731,-2.3320717,"calle Medio, 7",92.66666666666667,0.02666666666666667
14000.0,chalet,111.0,1,1,37.143392,-2.7778665,calle Real,126.12612612612612,0.009009009009009009
14000.0,piso,60.0,1,1,37.6895908,-2.0962646,calle Oriente,233.33333333333334,0.016666666666666666
14000.0,piso,32.0,2,1,36.7674745,-2.6144024,calle Pablo Neruda,437.5,0.0625
14000.0,chalet,258.0,4,1,37.6901061,-2.0941545,Vélez Blanco,54.263565891472865,0.015503875968992248
14000.0,chalet,90.0,3,1,37.2927409,-2.1793269,Albanchez,155.55555555555554,0.03333333333333333
14000.0,chalet,120.0,4,2,37.03708,-2.74389,"calle San Miguel, 14",116.66666666666667,0.03333333333333333
14800.0,piso,67.0,1,1,37.1059878,-2.646537,Nacimiento,220.8955223880597,0.014925373134328358
15000.0,piso,55.0,2,1,36.8443036,-2.4678915,calle Luchana,272.72727272727275,0.03636363636363636
15000.0,piso,59.0,2,1,36.8462552,-2.4719914,calle Alta de la Fuentecica,254.23728813559322,0.03389830508474576
15000.0,piso,76.0,3,2,36.7659478,-2.6243362,calle Juan Ramón Jiménez,197.3684210526316,0.039473684210526314
15000.0,piso,55.0,2,1,36.8418224,-2.4671203,calle Luchana,272.72727272727275,0.03636363636363636
15000.0,chalet,120.0,5,1,37.4846082,-2.2946409,"calle Cambrones, 4",125.0,0.041666666666666664
15000.0,chalet,200.0,4,1,37.0385849,-2.7450079,"calle Príncipe, 3",75.0,0.02
15000.0,chalet,210.0,3,1,37.1715116,-2.8395856,"calle Guadix, 12",71.42857142857143,0.014285714285714285
16000.0,piso,39.0,1,1,36.8391551,-2.474184,calle Juan Goytisolo,410.2564102564103,0.02564102564102564
16000.0,casa_rural,240.0,0,0,37.1758789,-2.7343406,"calle santa teresa, 24 -27",66.66666666666667,0.0
16000.0,chalet,102.0,3,1,37.3496572,-2.3608021,Purchena,156.86274509803923,0.029411764705882353
16500.0,casa_rural,160.0,0,0,37.1181546,-2.5414607,calle Caribes s/n,103.125,0.0
17000.0,piso,45.0,3,1,36.8385162,-2.4752199,calle Juan Goytisolo,377.77777777777777,0.06666666666666667
17000.0,piso,45.0,3,1,36.8400318,-2.4748083,calle Juan Goytisolo,377.77777777777777,0.06666666666666667
17000.0,chalet,90.0,3,1,37.3504249,-2.3000594,Olula del Río,188.88888888888889,0.03333333333333333
17000.0,casa_rural,179.0,1,1,37.3406458,-2.0391349,"calle Malecon, 6",94.97206703910615,0.00558659217877095
17500.0,casa_rural,150.0,3,3,37.18998,-2.09827,"Barrio las Provincias, 5",116.66666666666667,0.02
17500.0,chalet,42.0,3,1,37.352595,-2.1955177,Cantoria,416.6666666666667,0.07142857142857142
17900.0,chalet,185.0,4,2,36.9954975,-2.8949814,calle Manuel de Falla,96.75675675675676,0.021621621621621623
18000.0,piso,76.0,3,1,36.7638189,-2.6237638,calle Gerardo Diego,236.8421052631579,0.039473684210526314
18000.0,piso,144.0,3,1,36.8657161,-2.9681094,carretera Hirmes,125.0,0.020833333333333332
18000.0,casa_rural,100.0,5,0,36.9673722,-2.6105449,"calle Naranjo, 1",180.0,0.05
18000.0,chalet,84.0,2,1,37.3325394,-2.3012253,Macael,214.28571428571428,0.023809523809523808
18061.0,piso,45.0,2,1,36.7573004,-2.6531188,"calle Joselito, 4 -2",401.35555555555555,0.044444444444444446
18900.0,piso,35.0,1,1,36.95161,-2.4916116,calle Mártires de la Libertad,540.0,0.02857142857142857
19000.0,piso,48.0,2,1,36.8408764,-2.4771037,calle Juan Goytisolo,395.8333333333333,0.041666666666666664
19000.0,chalet,150.0,2,1,37.3316331,-2.3064949,Macael,126.66666666666667,0.013333333333333334
19000.0,chalet,123.0,7,2,37.3899028,-2.389159,Somontin,154.47154471544715,0.056910569105691054
19000.0,casa_rural,66.0,4,1,37.3424,-2.51117,"callejón Quesadas, 4",287.8787878787879,0.06060606060606061
19000.0,chalet,101.0,1,1,37.3344099,-2.3038301,"calle Santiago, 30",188.11881188118812,0.009900990099009901
19500.0,chalet,60.0,3,1,37.3314424,-2.3026399,calle Barranco s/n,325.0,0.05
19500.0,chalet,120.0,3,1,37.3329079,-2.3036171,Macael,162.5,0.025
19500.0,chalet,224.0,4,3,37.036711,-2.7445026,"calle Carlos Mendoza, 14",87.05357142857143,0.017857142857142856
19500.0,chalet,90.0,3,1,37.3332558,-2.3027401,"calle del Carmen, 10",216.66666666666666,0.03333333333333333
19800.0,chalet,166.0,3,1,37.1694872,-2.8376032,calle Olila,119.27710843373494,0.018072289156626505
19900.0,chalet,90.0,4,1,37.3305423,-2.3061146,calle San Miguel,221.11111111111111,0.044444444444444446
19900.0,duplex,250.0,5,2,37.6883143,-2.0964892,"calle Federico de Motos, 17",79.6,0.02
20000.0,chalet,140.0,2,1,37.2860015,-2.1821558,"calle Real, 19 -15",142.85714285714286,0.014285714285714285
20000.0,chalet,37.0,2,0,37.3948834,-1.7435771,Pulpi,540.5405405405405,0.05405405405405406
20000.0,chalet,60.0,3,1,37.2983595,-1.8811855,Cuevas del Almanzora,333.3333333333333,0.05
20000.0,chalet,101.0,3,1,37.1413109,-2.7759205,calle José Castillo,198.01980198019803,0.0297029702970297
20000.0,chalet,121.0,5,1,37.3307323,-2.30556,Macael,165.28925619834712,0.04132231404958678
20000.0,casa_rural,66.0,1,1,37.3462543,-2.3627193,Purchena,303.030303030303,0.015151515151515152
20000.0,casa_rural,100.0,1,1,37.4771425,-2.0441323,calle los Llanos,200.0,0.01
20000.0,piso,74.0,3,1,36.7618262,-2.6380612,carretera de la Mojonera,270.27027027027026,0.04054054054054054
20000.0,piso,85.0,3,2,36.7615223,-2.6234838,calle Neptuno,235.2941176470588,0.03529411764705882
20000.0,piso,85.0,2,2,36.7620992,-2.6224176,calle Neptuno,235.2941176470588,0.023529411764705882
20000.0,piso,76.0,1,1,36.7628681,-2.6224463,calle Juan Ramón Jiménez,263.1578947368421,0.013157894736842105
20000.0,chalet,143.0,3,1,37.3306354,-2.3022311,Macael,139.86013986013987,0.02097902097902098
20000.0,casa_rural,145.0,2,0,37.231657,-2.238735,"calle de las Cruces, 12",137.93103448275863,0.013793103448275862
20000.0,chalet,90.0,3,1,37.3904309,-2.3868572,Somontin,222.22222222222223,0.03333333333333333
20000.0,chalet,70.0,3,1,37.390797,-2.3893304,Somontin,285.7142857142857,0.04285714285714286
20000.0,casa_rural,20.0,1,1,37.1448688,-2.7758356,pozo Paraje Los olivares s/n,1000.0,0.05
20000.0,chalet,265.0,5,1,37.1614689,-2.7386175,calle Silencio s/n,75.47169811320755,0.018867924528301886
20000.0,casa_rural,100.0,3,1,37.3466,-2.36052,"calle Rambla, 2",200.0,0.03
20000.0,estudio,44.0,0,0,37.3900039,-2.1409761,Albox,454.54545454545456,0.0
20000.0,chalet,88.0,3,2,37.2860747,-2.1333066,"Los Utreras, 7",227.27272727272728,0.03409090909090909
20000.0,chalet,70.0,3,1,37.3896694,-2.3894843,"calle Calvario, 26",285.7142857142857,0.04285714285714286
20642.0,piso,52.0,3,1,37.3573062,-2.2986457,Olula del Río,396.96153846153845,0.057692307692307696
21000.0,piso,66.0,1,1,36.8581458,-2.4492444,calle Sierra de Gata,318.1818181818182,0.015151515151515152
21000.0,piso,76.0,3,2,36.7642304,-2.6219392,plaza De Andalucía,276.3157894736842,0.039473684210526314
21000.0,piso,76.0,2,2,36.7626597,-2.6248074,calle Gerardo Diego,276.3157894736842,0.02631578947368421
21000.0,piso,62.0,2,1,36.7591296,-2.6290942,calle Rosalía de Castro,338.7096774193548,0.03225806451612903
21000.0,piso,90.0,3,2,36.7650311,-2.6201284,calle Nador,233.33333333333334,0.03333333333333333
21000.0,piso,76.0,3,2,36.7627329,-2.6211274,calle Rafael Alberti,276.3157894736842,0.039473684210526314
21000.0,chalet,65.0,2,1,36.7944953,-2.6278401,carril Cortijo Adrián,323.0769230769231,0.03076923076923077
21000.0,chalet,60.0,2,1,37.3459404,-2.3601785,Purchena,350.0,0.03333333333333333
21000.0,casa_rural,100.0,3,1,37.46516,-2.21427,"Diseminado la Ermita, 125",210.0,0.03
21000.0,piso,81.0,3,1,37.3331024,-2.3007027,Macael,259.25925925925924,0.037037037037037035
22000.0,chalet,118.0,3,0,36.8527991,-2.9425688,Lepanto,186.4406779661017,0.025423728813559324
22000.0,chalet,67.0,2,1,37.1710336,-2.8415314,"plaza Constitucion, 7",328.35820895522386,0.029850746268656716
22000.0,piso,93.0,3,1,36.7649934,-2.6224122,calle General Castaños,236.55913978494624,0.03225806451612903
22000.0,piso,85.0,3,1,36.7635207,-2.6224096,calle la Tierra,258.8235294117647,0.03529411764705882
22000.0,piso,42.0,1,1,37.0049767,-2.9460006,Paterna del Río,523.8095238095239,0.023809523809523808
22000.0,piso,85.0,3,2,36.7651011,-2.6222918,calle Neptuno,258.8235294117647,0.03529411764705882
22000.0,casa_rural,100.0,1,1,37.3831666,-1.9461033,calle Parias,220.0,0.01
22000.0,casa_rural,100.0,1,1,37.4495785,-1.9818506,calle Cabecico Marin,220.0,0.01
22000.0,casa_rural,35.0,2,1,37.0077739,-2.7397131,"carretera A-348, 43 km",628.5714285714286,0.05714285714285714
22100.0,chalet,60.0,3,1,36.9892256,-2.5875009,calle Vistillas,368.3333333333333,0.05
22300.0,piso,83.0,1,1,36.8091182,-2.628851,avenida del Guadalquivir,268.67469879518075,0.012048192771084338
22500.0,piso,70.0,3,1,37.3314966,-2.3013682,Macael,321.42857142857144,0.04285714285714286
22600.0,piso,55.0,1,1,36.7606228,-2.6357421,carretera de la Mojonera,410.90909090909093,0.01818181818181818
22900.0,piso,63.0,2,1,37.0084368,-2.7384588,calle Juan de la Cruz Esteban Sánchez,363.4920634920635,0.031746031746031744
22900.0,piso,62.0,2,1,36.8092997,-2.6275124,"avenida del Genil, 43",369.35483870967744,0.03225806451612903
23000.0,piso,50.0,1,1,37.0326686,-2.9958979,Bayarcal,460.0,0.02
23000.0,casa_rural,118.0,8,2,37.4845168,-2.289029,avenida de Andalucía,194.91525423728814,0.06779661016949153
23000.0,chalet,150.0,3,2,36.7705599,-2.7995487,avenida las Naciones,153.33333333333334,0.02
23000.0,piso,82.0,3,2,36.8103842,-2.6286992,avenida del Guadalquivir,280.4878048780488,0.036585365853658534
23000.0,chalet,220.0,4,2,37.3956507,-2.3640638,Urracal,104.54545454545455,0.01818181818181818
23000.0,chalet,190.0,4,1,37.3324797,-2.3053625,Macael,121.05263157894737,0.021052631578947368
23000.0,chalet,212.0,5,1,37.1683502,-2.8374992,Fiñana,108.49056603773585,0.02358490566037736
23000.0,piso,70.0,2,1,36.7722759,-2.8180293,calle Almería,328.57142857142856,0.02857142857142857
23000.0,piso,38.0,1,1,36.8411281,-2.4748214,calle Navegante,605.2631578947369,0.02631578947368421
23000.0,chalet,100.0,3,1,37.3935451,-2.3868756,Somontin,230.0,0.03
23000.0,casa_rural,302.0,9,1,37.02063,-2.95344,"calle Llanos, 3",76.15894039735099,0.029801324503311258
