Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
6000.0,countryHouse,32.0,3,1,36.4635569,-5.7234043,calle Sainz Andino
6700.0,flat,28.0,1,1,36.1233238,-5.449942,calle los Barreros
6700.0,flat,28.0,1,1,36.1242853,-5.448316,calle los Barreros
6800.0,flat,26.0,1,1,36.6896944,-6.1444773,calle Nueva
8000.0,flat,84.0,3,1,36.1639001,-5.3560352,calle Balmes
8000.0,studio,44.0,0,0,36.6896471,-6.1517591,Barrio Santiago - Coronación
8800.0,flat,47.0,1,1,36.6875695,-6.1475595,calle Nueva
8900.0,chalet,59.0,1,1,36.9273,-5.5433012,calle Sevilla
9000.0,countryHouse,82.0,2,1,36.9261035,-5.5442695,"calle de la Fuente del Pecho, 30"
12500.0,chalet,152.0,0,2,36.9257968,-5.5439078,"calle de la Fuente del Pecho, 1"
13000.0,flat,86.0,3,1,36.1257188,-5.453867,Saladillo - La Piñera
13500.0,chalet,179.0,3,2,36.9267742,-5.5431492,"avenida Guadalete, 91"
14000.0,flat,74.0,3,1,36.6891995,-6.1454719,calle Nueva
15000.0,countryHouse,30.0,1,1,36.4610097,-5.7219644,calle Fernando de Casas
15300.0,flat,41.0,1,1,36.9204128,-5.5462014,calle de la Jara
15300.0,flat,41.0,1,1,36.9214407,-5.5443763,calle de la Jara
15400.0,duplex,44.0,2,1,36.6924331,-6.1518016,calle Micaela Parada
15400.0,flat,56.0,2,1,36.690123,-6.1528465,calle Micaela Parada
15500.0,chalet,76.0,2,1,36.91588,-5.2331,"calle el Gastor, 1"
15800.0,flat,55.0,2,1,36.1201381,-5.4541636,pasaje Duero 51
16000.0,flat,59.0,2,1,36.1221057,-5.4522334,calle Miño
16000.0,chalet,45.0,2,1,36.1335687,-5.458475,calle Ávila
16100.0,flat,54.0,1,1,36.6707216,-6.1363913,calle Pedro Sepúlveda
16200.0,flat,44.0,2,1,36.6925455,-6.1508719,calle Micaela Parada
16200.0,flat,44.0,2,1,36.6915262,-6.1495422,calle Micaela Parada
16800.0,flat,55.0,2,1,36.125766,-5.4541024,calle Eresma
17000.0,flat,49.0,3,1,36.6051415,-6.2239817,calle Virgen de los Remedios
17000.0,chalet,39.0,1,1,36.1302032,-5.4606875,calle Logroño
17000.0,chalet,39.0,1,1,36.1300622,-5.461733,calle Logroño
17000.0,flat,49.0,3,1,36.6053707,-6.2232612,calle Virgen de los Remedios
17100.0,flat,110.0,4,2,36.6984413,-6.1357449,calle Federico García Lorca
17100.0,flat,110.0,4,2,36.6987277,-6.1362379,calle Federico García Lorca
17100.0,flat,110.0,4,2,36.6986733,-6.1365034,calle Federico García Lorca
17250.0,flat,45.0,2,1,36.6918319,-6.1495813,Barrio Santiago - Coronación
17300.0,flat,56.0,2,1,36.6897816,-6.1518863,calle Juan Pecador
17300.0,flat,56.0,2,1,36.6931506,-6.1526093,calle Juan Pecador
17900.0,chalet,52.0,2,1,36.91999,-5.54422,Puerto Serrano
18000.0,chalet,30.0,2,2,36.6636022,-6.1569332,"calle Alemania, 3"
18100.0,flat,40.0,1,1,36.1298038,-5.4604236,calle Burgos
19000.0,flat,50.0,1,1,36.6858317,-6.1475014,calle Nueva
19000.0,flat,74.0,2,1,36.6716415,-6.1326611,calle Padre Damain
19000.0,flat,50.0,1,1,36.6894375,-6.1462241,Barrio Santiago - Coronación
19200.0,chalet,91.0,3,2,36.1344364,-5.4553135,calle Albacete
19900.0,flat,77.0,4,1,36.6986226,-6.1435211,calle Cepa
19900.0,flat,77.0,4,1,36.6981677,-6.1450974,calle Cepa
19900.0,chalet,63.0,3,1,36.1336063,-5.4592343,Puerta Europa-Virgen de la Palma-Estación
20000.0,chalet,59.0,2,1,36.1322756,-5.4575776,calle Valladolid
20000.0,chalet,43.0,2,1,36.1723628,-5.3457656,calle la Giralda
20000.0,chalet,90.0,2,1,36.9154257,-5.2343433,"calle Abajo, 9"
21000.0,chalet,36.0,1,1,36.1331758,-5.4599439,Puerta Europa-Virgen de la Palma-Estación
21000.0,chalet,48.0,1,1,36.130112,-5.4582349,calle Valladolid
22900.0,chalet,60.0,2,1,36.7460507,-5.8036087,calle Callejas
22995.0,chalet,59.0,1,1,36.1270249,-5.455806,calle los Arcos
22995.0,chalet,59.0,2,1,36.1274092,-5.4584847,Saladillo - La Piñera
23000.0,flat,111.0,3,1,36.8586988,-5.6441794,calle los Reyes
23000.0,chalet,53.0,3,1,36.130098,-5.4583684,calle Lérida
23000.0,chalet,60.0,2,1,36.1308699,-5.4582043,Puerta Europa-Virgen de la Palma-Estación
23000.0,flat,43.0,3,1,36.6061428,-6.2247492,calle Nuestra Señora de la Caridad
23000.0,flat,29.0,2,1,36.7497338,-5.8202799,calle Cañada de la Feria
23300.0,flat,47.0,3,1,36.6061466,-6.2227488,calle Nuestra Señora de Regla
23900.0,flat,58.0,3,1,36.6064206,-6.2235592,"calle Virgen de los Remedios, 1"
24000.0,flat,70.0,1,1,36.1323182,-5.4573574,Puerta Europa-Virgen de la Palma-Estación
24000.0,flat,52.0,2,1,36.6065274,-6.2256195,"calle Veracruz, 4 , - Cesi"
24000.0,flat,53.0,2,1,36.673845,-6.1377633,calle Conde de Mirasol
24000.0,flat,53.0,2,1,36.6757067,-6.1367417,calle Conde de Mirasol
24000.0,chalet,46.0,2,1,36.1305104,-5.4596382,calle Lérida
24500.0,chalet,55.0,2,1,36.6768942,-6.1388144,Barrio Torresoto - Agrimensor
24500.0,chalet,77.0,2,1,36.1310582,-5.4597236,"calle Lérida, 13"
24999.0,countryHouse,44.0,0,0,36.85488,-5.32352,"calle alta, 1"
25000.0,flat,40.0,2,1,36.6046701,-6.2216424,calle Nuestra Señora de Regla
25000.0,chalet,64.0,3,1,36.1330081,-5.4606194,calle Teruel
25000.0,chalet,79.0,2,1,36.1328117,-5.4589704,calle Burgos
25000.0,flat,40.0,1,1,36.6696591,-5.4475403,calle Jilguero
25000.0,flat,60.0,3,1,36.1220479,-5.4531974,calle Duero
25000.0,flat,60.0,3,1,36.1226062,-5.4536018,calle Duero
25000.0,chalet,169.0,3,2,36.1250696,-5.4543547,Saladillo - La Piñera
25600.0,flat,50.0,1,1,36.7768906,-6.3438198,calle José Rodríguez del Moral
25600.0,flat,50.0,1,1,36.7759514,-6.3415663,calle José Rodríguez del Moral
26000.0,flat,79.0,3,1,36.1214121,-5.4578266,calle Guerrita
26000.0,flat,75.0,3,1,36.1203932,-5.4570325,Saladillo - La Piñera
26000.0,flat,39.0,2,1,36.6944646,-6.1485474,avenida del Amontillado
26000.0,flat,39.0,2,1,36.6934206,-6.1466339,avenida del Amontillado
26000.0,flat,53.0,3,1,36.6946517,-6.1504891,Barrio Santiago - Coronación
26000.0,flat,85.0,4,1,36.6734733,-6.1302838,Barrio San Telmo - Federico Mayo - El Porta
26000.0,flat,65.0,3,1,36.8611168,-5.6458164,avenida Guadalete
26200.0,chalet,48.0,2,1,36.1305029,-5.4567373,calle Santa María Micaela
26300.0,flat,69.0,3,1,36.6715958,-6.1301902,calle Amistad
26300.0,flat,69.0,3,1,36.6709265,-6.1305425,calle Amistad
26500.0,chalet,27.0,1,1,36.1699402,-5.3519322,calle Santa Isabel
26800.0,flat,76.0,2,1,36.701701,-6.1419664,calle Cepa
26800.0,flat,76.0,3,1,36.6986487,-6.1406282,Barrio Jerez Oeste
27000.0,flat,87.0,2,1,36.1266158,-5.4551604,calle Andalucía
27000.0,flat,69.0,3,1,36.6765913,-6.1341079,calle San Telmo
27000.0,flat,69.0,3,1,36.6775603,-6.1325503,calle San Telmo
27000.0,flat,95.0,2,1,36.1238943,-5.4542225,calle Andalucía
27500.0,flat,50.0,2,1,36.6943017,-6.1466919,calle Alván
27500.0,flat,50.0,2,1,36.6923737,-6.149541,calle Alván
27500.0,flat,51.0,2,1,36.6933806,-6.1476776,Barrio Santiago - Coronación
27600.0,flat,78.0,3,1,36.2096558,-5.4124382,Ensenada Miraflores
27600.0,flat,78.0,3,1,36.207467,-5.4151313,Ensenada Miraflores
27800.0,flat,79.0,4,1,36.6780837,-6.1349341,calle San Telmo
27800.0,flat,79.0,4,1,36.67779,-6.1339348,calle San Telmo
