Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
18000000.0,chalet,3850.0,18,22,36.2752709,-5.335639,Barrio Zona F
14900000.0,chalet,2438.0,7,7,36.2978749,-5.3332273,Lugar Sotogrande
14900000.0,chalet,2348.0,7,7,36.2985532,-5.3402398,"calle Maravillas, 823 -828"
14900000.0,chalet,2348.0,7,7,36.2970617,-5.3412517,calle Maravillas
14900000.0,chalet,2348.0,7,7,36.2975221,-5.3205664,Barrio La Reserva
13450000.0,chalet,2173.0,7,8,36.2831479,-5.2914214,Sotogrande Costa
12500000.0,chalet,2301.0,7,9,36.2979824,-5.3249633,Barrio La Reserva
12500000.0,chalet,2300.0,7,8,36.3007367,-5.3254428,Barrio La Reserva
12000000.0,chalet,2808.0,8,11,36.2795439,-5.2932837,Av/ La Reserva
12000000.0,chalet,2600.0,7,8,36.2954923,-5.3201394,"La Reserva, 14"
12000000.0,chalet,2801.0,8,8,36.2921545,-5.3353334,Barrio La Reserva
12000000.0,chalet,1494.0,5,7,36.2978968,-5.3373708,"Avenue Reserva, 24 --70"
12000000.0,chalet,2534.0,7,10,36.2999559,-5.3258467,Lugar Sotogrande
12000000.0,chalet,2534.0,7,8,36.295734,-5.3262952,Barrio La Reserva
11400000.0,chalet,2041.0,6,7,36.2990047,-5.3224402,Barrio La Reserva
11400000.0,chalet,2801.0,8,9,36.29567,-5.32438,"Lugar Sotogrande, 7"
11400000.0,chalet,2041.0,6,9,36.2930744,-5.3258147,Barrio La Reserva
11400000.0,countryHouse,2809.0,8,9,36.2982663,-5.3236915,Barrio La Reserva
11400000.0,chalet,2041.0,6,7,36.2992318,-5.3276426,Barrio La Reserva
11400000.0,chalet,2756.0,8,1,36.2931746,-5.3252684,Barrio La Reserva
10000000.0,chalet,2100.0,7,7,36.2715323,-5.3464342,calle Grazalema s/n
9900000.0,chalet,1013.0,6,6,36.2385405,-5.3141673,La Alcaidesa
9900000.0,chalet,1013.0,6,6,36.2538871,-5.3573379,Alcaidesa s/n
9800000.0,chalet,1195.0,5,6,36.2972555,-5.3257447,Lugar Sotogrande
9800000.0,chalet,1367.0,5,6,36.2921415,-5.3344069,Barrio La Reserva
9800000.0,chalet,761.0,6,6,36.2950789,-5.3233599,Lugar Sotogrande
9800000.0,chalet,2041.0,6,7,36.3004179,-5.3270092,Lugar Sotogrande
9800000.0,chalet,1367.0,5,7,36.2996286,-5.3399029,Barrio La Reserva
9500000.0,chalet,1500.0,8,9,36.2772645,-5.34427,Barrio Zona F
9500000.0,chalet,1300.0,8,9,36.2748094,-5.3429118,"calle Formentera, 2 -20"
9500000.0,chalet,1500.0,8,9,36.2748094,-5.3429118,"calle Formentera, 2 -20"
8900000.0,chalet,1367.0,6,6,36.2976982,-5.336676,avenida Reserva
8900000.0,chalet,1367.0,5,7,36.2933296,-5.3334489,Barrio La Reserva
8900000.0,chalet,1367.0,5,7,36.2985532,-5.3402398,"calle Maravillas, 823 -828"
8900000.0,chalet,1648.0,6,6,36.2993837,-5.3410483,calle Maravillas
8800000.0,chalet,1906.0,6,10,36.295124,-5.3396679,Barrio La Reserva
8800000.0,chalet,1742.0,8,12,36.2802979,-5.3147888,"Sotogrande Alto, Valderrama"
8800000.0,chalet,1047.0,6,8,36.2954124,-5.338222,avenida Reserva
8800000.0,chalet,1906.0,6,8,36.2947472,-5.3345979,Barrio La Reserva
8800000.0,chalet,1544.0,8,8,36.2839087,-5.3445579,Barrio Valderrama
8800000.0,chalet,1742.0,9,9,36.2850312,-5.3443543,Barrio Valderrama
8800000.0,chalet,1955.0,6,8,36.293433,-5.3365375,calle Magnolia
8800000.0,chalet,1545.0,8,8,36.2836431,-5.3386269,calle Soto Alto
8800000.0,chalet,2087.0,6,8,36.3004491,-5.3343879,calle Margarita
8800000.0,countryHouse,1906.0,6,7,36.2965456,-5.3383421,Barrio La Reserva
8800000.0,countryHouse,1742.0,8,9,36.2884918,-5.3458895,Barrio Valderrama
8800000.0,chalet,1545.0,8,9,36.2853638,-5.3420325,Barrio Valderrama
8500000.0,chalet,1500.0,8,10,36.2898443,-5.294827,"calle Ramiro el Monje, 15"
7850000.0,chalet,1600.0,6,8,36.2699467,-5.3451414,"calle Granada, 2 -16"
7850000.0,chalet,1600.0,6,8,36.2699467,-5.3451414,"calle Granada, 2 -16"
7700000.0,chalet,1200.0,8,7,36.2737545,-5.3492351,Barrio Almenara
7000000.0,countryHouse,3800.0,1,14,36.4238497,-6.1247159,La Banda - Campo de Fútbol
6975000.0,chalet,1373.0,8,9,36.2691716,-5.3465571,"avenida Almenara, 27"
6975000.0,chalet,1203.0,8,9,36.2784568,-5.3412572,Barrio Zona F
6975000.0,chalet,1373.0,6,6,36.2838046,-5.345658,"calle Guadalquivir, 16 -24"
6950000.0,chalet,1420.0,5,5,36.2887607,-5.3242054,carretera de Arenillas
6950000.0,chalet,1419.0,5,5,36.2863829,-5.30111,paseo del Parque
6950000.0,countryHouse,1200.0,7,7,36.3429546,-5.318526,San Martín del Tesorillo
6900000.0,chalet,900.0,6,10,36.3012831,-5.3337183,Barrio La Reserva
6850000.0,chalet,1490.0,5,5,36.2912874,-5.3393922,"calle Lavanda, 123"
6800000.0,chalet,1213.0,6,8,36.2710629,-5.344638,"calle Granada, 16"
6700000.0,chalet,1518.0,5,7,36.2975402,-5.3406024,Lugar Sotogrande
6700000.0,chalet,1518.0,5,7,36.2948064,-5.3344168,Barrio La Reserva
6700000.0,chalet,1518.0,5,7,36.2957819,-5.3432107,calle Morera
6700000.0,chalet,1518.0,5,6,36.2965551,-5.3407686,Lugar Sotogrande
6700000.0,chalet,1518.0,5,6,36.2933847,-5.344666,avenida de la Reserva
6390000.0,chalet,975.0,8,10,36.2849631,-5.3477928,calle Guadaíra
6300000.0,chalet,1300.0,4,7,36.29618,-5.33911,"Lugar Sotogrande, 805"
6300000.0,chalet,1242.0,4,6,36.2936286,-5.3323889,Barrio La Reserva
6300000.0,chalet,948.0,4,7,36.2947649,-5.3422887,"calle Morera, 8"
6300000.0,chalet,784.0,4,7,36.2972616,-5.3401932,calle Maravillas
6300000.0,chalet,949.0,4,4,36.2846939,-5.3169249,carretera de Arenillas
6300000.0,chalet,1242.0,4,4,36.2950949,-5.3418435,calle Morera
6300000.0,chalet,720.0,4,4,36.2974274,-5.3429906,calle Maravillas
6300000.0,chalet,948.0,4,4,36.2985881,-5.321951,Barrio La Reserva
6300000.0,chalet,720.0,4,4,36.2971802,-5.3406025,Barrio La Reserva
6200000.0,chalet,753.0,6,6,36.2790451,-5.2977235,"calle Duarte de Portugal, 3"
6000000.0,chalet,942.0,5,5,36.2856991,-5.2888376,Sotogrande Costa
6000000.0,chalet,941.0,5,5,36.285073,-5.2876957,paseo del Parque
6000000.0,countryHouse,100.0,9,3,36.932349,-5.2080142,Olvera
5950000.0,chalet,1180.0,6,6,36.2882712,-5.3326118,calle Escorial
5950000.0,chalet,1400.0,6,7,36.2787916,-5.3155122,alto Sotogrande
5950000.0,chalet,1180.0,6,6,36.2863376,-5.3320591,"calle Escorial, 12 -18"
5950000.0,chalet,824.0,6,6,36.2715192,-5.3487147,Barrio Almenara
5950000.0,chalet,1180.0,6,6,36.2866484,-5.3321923,"calle Escorial, 11"
5950000.0,chalet,1180.0,6,6,36.288757,-5.3300386,Barrio Valderrama
5950000.0,chalet,962.0,8,9,36.2717061,-5.3559166,Gaucin
5900000.0,chalet,900.0,6,9,36.3025499,-5.33014,"Lugar Sotogrande, 9"
5750000.0,chalet,1753.0,6,5,36.2925952,-5.3277242,"calle Limonar, 12"
5750000.0,chalet,1753.0,6,6,36.2932209,-5.3280955,limonar
5750000.0,chalet,1800.0,6,6,36.2918755,-5.3329602,calle Laurel
5750000.0,chalet,1600.0,6,6,36.2947053,-5.3334426,Barrio La Reserva
5750000.0,chalet,1780.0,6,6,36.2927497,-5.3287104,"calle Limonar, 437"
5750000.0,chalet,1070.0,5,5,36.2706374,-5.3464424,"calle Grazalema, 2 -12"
5750000.0,chalet,1950.0,6,6,36.2941205,-5.328405,calle Lentisco
5750000.0,chalet,1800.0,6,6,36.2899919,-5.2795961,Puerto de Sotogrande-La Marina
5750000.0,chalet,1800.0,6,6,36.2922504,-5.3330033,Barrio La Reserva
5750000.0,chalet,1754.0,6,6,36.2912792,-5.3332006,Barrio La Reserva
5750000.0,chalet,1950.0,6,7,36.2944984,-5.3274334,calle Limonar
5550000.0,chalet,975.0,6,7,36.2914924,-5.3023381,Sotogrande Costa
5500000.0,countryHouse,1000.0,7,7,36.3750498,-5.394702,Arroyo La Morisca
5500000.0,countryHouse,1200.0,7,7,36.3416541,-5.3185332,San Martín del Tesorillo
5500000.0,chalet,1008.0,6,6,36.272306,-5.3460588,Barrio Almenara
5250000.0,chalet,683.0,5,5,36.2848953,-5.2884316,Sotogrande Costa
5250000.0,chalet,1240.0,7,7,36.2845477,-5.318769,"calle Cervantes, 30"
5250000.0,chalet,1240.0,7,7,36.2807737,-5.3176001,Barrio Sotogrande Alto Central
5200000.0,chalet,1032.0,7,6,36.2784786,-5.3314279,Barrio Zona F
5200000.0,chalet,1260.0,7,7,36.2784521,-5.3291473,calle Faisán
