Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
6200.0,chalet,62.0,3,1,36.9073092,-3.0958426,calle Real
7000.0,countryHouse,172.0,4,2,37.3724751,-3.7135747,"calle Convento, 4"
8800.0,chalet,156.0,3,1,37.3929206,-3.5306763,calle del Doctor Vilchez Romero
9000.0,countryHouse,80.0,2,1,37.18126,-3.06522,"travesía Justo Cabrera, 4"
9000.0,chalet,104.0,3,2,37.5578192,-3.4002204,calle Alhambra
9000.0,chalet,66.0,3,1,37.0024401,-3.9894148,calle la Cruz
9000.0,chalet,114.0,1,1,37.0006567,-3.9932755,calle Barranco
9000.0,chalet,70.0,1,1,37.2168789,-4.1372335,A-4154
9600.0,chalet,60.0,4,1,37.5754847,-3.5038984,calle Alta
9600.0,chalet,60.0,4,1,37.5732039,-3.5051452,Montejicar
9900.0,countryHouse,122.0,2,0,36.8879791,-3.1535279,Cortijo Teja
9999.0,chalet,74.0,1,0,36.9748152,-3.1911068,"cuesta de la Platera, 55"
10000.0,countryHouse,118.0,2,0,37.32421,-4.1561899,"calle Baja, 27"
10000.0,chalet,74.0,2,1,36.9736223,-3.1932728,calle Baja Panadería
10000.0,chalet,80.0,2,1,37.1730637,-2.9509666,calle San Anton
10000.0,countryHouse,178.0,0,0,37.89265,-2.63718,"calle Canal de San Clemente, 1"
10000.0,chalet,118.0,1,1,37.1625139,-3.4458458,calle Orilla Perales
10000.0,countryHouse,90.0,5,2,37.89232,-2.64025,"calle Canal de San Clemente, 46"
10000.0,countryHouse,120.0,0,0,37.2703815,-4.219636,Cortijo la Dehesilla s/n
12000.0,chalet,94.0,1,1,37.50443,-3.2309189,calle Guadix
12000.0,chalet,100.0,0,0,36.7878697,-3.6083353,"calle Peñuelas Altas, 65"
12000.0,countryHouse,40.0,3,1,37.1333765,-3.9325525,"calle san José, 7"
12000.0,countryHouse,50.0,0,0,36.9037241,-3.4230441,"calle Estación, 64"
12400.0,chalet,122.0,3,2,37.5025554,-3.2305734,calle Padre Manjon
12400.0,chalet,122.0,3,2,37.5045074,-3.2307032,calle Padre Manjon
12500.0,countryHouse,80.0,5,0,37.3715752,-3.2189847,"calle Mochilas, 374"
13000.0,chalet,223.0,5,1,37.4898028,-2.7690905,Baza
13000.0,flat,87.0,1,1,37.1837581,-3.1594092,calle Alcazar
13000.0,chalet,94.0,1,1,37.1890073,-3.7195783,calle Cruces
13000.0,chalet,94.0,1,1,37.1881734,-3.7210473,calle Cruces
13200.0,chalet,35.0,2,1,37.1901177,-3.7207442,calle Goro
13200.0,chalet,35.0,2,1,37.1900055,-3.7211862,calle Goro
13600.0,chalet,275.0,4,2,37.8116513,-2.5368546,calle Santiago
14900.0,chalet,70.0,2,1,36.8633187,-3.0574206,calle Norte
