Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
3525.0,chalet,70.0,2,1,36.7145139,-5.2500922,"MA-8400, 3"
6200.0,chalet,35.0,1,1,36.7352616,-5.2525411,avenida Andalucía
6200.0,chalet,35.0,1,1,36.7363596,-5.2506677,avenida Andalucía
13000.0,flat,24.0,1,2,36.7705133,-4.0404801,calle Antonio Ruiz Rivas
15000.0,chalet,36.0,0,0,36.784158,-4.8416734,"calle Barranco, 6"
15000.0,chalet,35.0,1,1,36.6294076,-5.1216476,Igualeja
18600.0,chalet,64.0,2,1,37.1885874,-4.4523882,calle Jaen
18600.0,chalet,64.0,3,1,37.188639,-4.4529029,calle Jaen
18600.0,chalet,64.0,3,1,37.1889009,-4.4526611,calle Jaen
20000.0,chalet,60.0,1,0,36.843369,-4.270172,Paraje Los Ventorros s/n
21100.0,chalet,99.0,3,1,37.1140027,-4.7015014,Barrio el Loro
21100.0,chalet,99.0,3,1,37.1102766,-4.7014747,Barrio el Loro
23000.0,flat,38.0,3,1,36.7408534,-4.4287115,calle Francisco Carter
23000.0,flat,38.0,3,1,36.7400289,-4.4295145,calle Francisco Carter
24000.0,countryHouse,54.0,2,1,36.8550144,-4.0242401,Salares
25000.0,countryHouse,75.0,3,1,36.79034,-4.01522,Sayalonga
25000.0,chalet,130.0,2,1,36.7299828,-4.857216,El higueral
25000.0,chalet,170.0,4,3,36.9013476,-4.3403188,Colmenar
29000.0,chalet,50.0,2,1,36.8725669,-4.0798511,Canillas de Aceituno
29334.0,chalet,99.0,3,1,37.1798236,-4.3358833,"avenida de la Constitucion, 83"
30000.0,chalet,49.0,0,0,36.8516098,-4.0246024,Salares
30000.0,countryHouse,62.0,1,0,36.6906633,-4.9025943,Tolox
30000.0,countryHouse,74.0,2,1,36.6451877,-5.1532129,"calle Nueva, 14"
30000.0,countryHouse,128.0,3,1,36.6173439,-5.3422793,"San Jose, 23"
30000.0,countryHouse,114.0,0,0,36.5647361,-5.2152497,"Consuelo, 4"
30000.0,chalet,60.0,2,1,36.5391369,-5.3879197,"calle Guadiaro, 5 Nmero"
30000.0,countryHouse,65.0,2,1,36.6297472,-5.1216041,"c santa rosa 4 Igualeja, 4 csantarosaIgualeja"
