Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
50000000.0,chalet,1590.0,9,8,36.504368,-4.9264347,Barrio Puente Romano
30000000.0,chalet,2200.0,9,13,36.5293188,-5.0107756,calle Francisco Zurbarán
30000000.0,chalet,2200.0,9,13,36.5367962,-5.0192791,Lugar Finca Zagaleta
30000000.0,chalet,2200.0,9,13,36.5443572,-5.0246335,via la Alborada
30000000.0,chalet,1684.0,10,12,36.4898088,-4.9490514,paseo maritimo s/n
30000000.0,chalet,2200.0,9,13,36.5420359,-5.0261233,La Zagaleta
30000000.0,chalet,2200.0,79,13,36.5442219,-5.0220328,La Zagaleta
29500000.0,chalet,2449.0,9,13,36.5305584,-4.9049833,calle 2
28950000.0,chalet,2443.0,8,13,36.5341443,-4.9818856,calle Lago Lomond
28000000.0,chalet,3291.0,11,10,36.499884,-4.9553764,calle Pablo Picasso
25000000.0,chalet,2000.0,5,5,36.5035244,-4.8365937,Barrio Bahía de Marbella
24750000.0,chalet,1380.0,8,9,36.5428978,-5.025933,La Zagaleta
24750000.0,chalet,1500.0,8,9,36.5441325,-5.0231872,LA ZAGALETA -29679 s/n
24750000.0,chalet,1380.0,8,9,36.5384221,-5.0109439,Urbanizacion Coto la Zagaleta
24750000.0,chalet,1380.0,8,9,36.5287199,-5.0254668,"calle Julio Romero de Torres, 5 -16"
24750000.0,chalet,1380.0,8,9,36.52477,-5.0276836,"Urbanizacion Coto la Zagaleta, 11 C"
24750000.0,chalet,1380.0,8,9,36.5441325,-5.0231872,La zagaleta s/n
24750000.0,chalet,1380.0,8,9,36.5410402,-5.0241011,La Zagaleta
24000000.0,chalet,1566.0,9,10,36.5089129,-4.909087,calle Murillo
24000000.0,penthouse,986.0,8,5,36.4862111,-4.959824,Barrio Puerto Banús
24000000.0,chalet,2000.0,7,9,36.5098773,-4.8850416,"Nueva, 4"
22000000.0,chalet,1291.0,5,6,36.5273328,-4.9086458,Barrio Sierra Blanca
20500000.0,chalet,1925.0,6,7,36.5478964,-5.0236202,Urbanizacion Coto la Zagaleta
20000000.0,chalet,1361.0,7,5,36.5224268,-5.0454463,Benahavís
19900000.0,duplex,452.0,6,8,36.503001,-4.9239619,puente Romano s/n
19900000.0,penthouse,650.0,6,7,36.5018035,-4.9272635,Conjunto Jardín Andaluz
19900000.0,duplex,665.0,6,6,36.4985986,-4.9261867,Barrio Puente Romano
19900000.0,duplex,454.0,6,8,36.4993601,-4.9256026,calle Torre Verde
19900000.0,flat,665.0,6,6,36.4984849,-4.9255234,Barrio Puente Romano
19900000.0,duplex,454.0,6,8,36.5049614,-4.9235844,Barrio Puente Romano
19900000.0,penthouse,454.0,6,8,36.5013257,-4.9244829,"calle Torre Verde, 34"
19900000.0,flat,452.0,6,8,36.4989012,-4.9274556,puente Romano jardin persa
19900000.0,penthouse,665.0,6,8,36.5021071,-4.9230829,"Urbanizacion Verdiales, 4"
19900000.0,duplex,454.0,6,6,36.5036964,-4.9263471,"Conjunto Jardín Andaluz, 5"
19900000.0,penthouse,665.0,6,8,36.5010083,-4.923401,Barrio Puente Romano
19900000.0,duplex,454.0,6,8,36.5000464,-4.9274791,Barrio Puente Romano
19900000.0,penthouse,454.0,6,8,36.5038268,-4.9254991,"puente Romano, 27"
19900000.0,duplex,454.0,6,8,36.5038427,-4.9235492,Barrio Puente Romano
19900000.0,duplex,454.0,6,8,36.5017125,-4.9256322,Barrio Puente Romano
19900000.0,duplex,454.0,6,8,36.5046314,-4.9230229,Barrio Puente Romano
19500000.0,chalet,823.0,6,7,36.5092035,-4.9097802,calle Murillo
19500000.0,chalet,1636.0,7,12,36.4918144,-4.9457413,Barrio Puerto Banús
19000000.0,chalet,2000.0,6,11,36.5017445,-4.7908782,Barrio El Rosario-Ricmar
18900000.0,chalet,1200.0,7,8,36.5232477,-4.9160014,"calle Rossini, 8 -10"
18900000.0,chalet,1200.0,7,10,36.5179644,-4.9240981,Barrio Nagüeles
17975000.0,chalet,1363.0,8,8,36.5130829,-5.0023976,Urbanizacion el Herrojo
17500000.0,chalet,1900.0,8,9,36.5402099,-5.0244184,Vía
17500000.0,chalet,1250.0,8,9,36.5441325,-5.0231872,"la zagaleta, 1"
17500000.0,chalet,2559.0,8,9,36.5460465,-5.0229062,Zagaleta
17500000.0,countryHouse,1800.0,8,4,36.7278131,-5.1678709,San Francisco
16900000.0,chalet,2227.0,7,8,36.5258672,-4.9257887,calle Huerta del Fraile
16600000.0,chalet,1347.0,6,8,36.5306037,-4.9123997,calle 5
16000000.0,chalet,2009.0,7,8,36.5252592,-4.9138926,calle Rossini
16000000.0,chalet,2009.0,7,9,36.5239695,-4.9146288,calle Mozart
16000000.0,chalet,966.0,7,7,36.5265807,-4.913111,Barrio Sierra Blanca
16000000.0,chalet,2000.0,7,9,36.5242447,-4.9181412,"Lugar Urbanizacion Sierra Blanca, 125"
16000000.0,chalet,2009.0,7,7,36.5243411,-4.9180918,calle Wagner
16000000.0,chalet,2000.0,7,9,36.5233335,-4.9145864,calle Mozart
16000000.0,chalet,2009.0,7,9,36.5246347,-4.9120402,Barrio Sierra Blanca
15450000.0,chalet,1176.0,6,9,36.5072547,-4.9753939,avenida Calderón de la Barca
15450000.0,chalet,1176.0,6,9,36.5149767,-4.9770197,"Urbanizacion N Andalucia 2G, 36 B"
15000000.0,chalet,1923.0,6,5,36.5290259,-4.9152844,Barrio Sierra Blanca
15000000.0,chalet,1923.0,7,6,36.5254045,-4.9118961,Barrio Sierra Blanca
15000000.0,chalet,2310.0,12,14,36.521736,-5.0046078,La Quinta
14995000.0,chalet,976.0,6,9,36.5106668,-5.0022519,calle Delfos
14995000.0,chalet,738.0,6,9,36.5203376,-4.9952128,calle Diego de Almagro
14995000.0,chalet,738.0,6,6,36.5197521,-5.0446694,Benahavís
14950000.0,chalet,1435.0,5,8,36.5278167,-4.9043049,calle 1
14900000.0,chalet,240.0,5,5,36.5021729,-4.9253697,Barrio Puente Romano
14750000.0,chalet,2050.0,9,9,36.5350414,-5.0279447,calle Salvador Dali
14600000.0,chalet,1299.0,7,7,36.5102055,-4.8899933,calle Sierra Blanca s/n
14600000.0,chalet,2227.0,7,8,36.5197699,-4.9232235,calle Sierra Blanca
14500000.0,chalet,1300.0,8,7,36.5298003,-4.9960732,El Madroñal
14500000.0,chalet,910.0,6,6,36.52154,-4.92133,"calle Sierra Blanca, 184"
14500000.0,chalet,1605.0,7,7,36.5112466,-4.9949626,La Quinta
14500000.0,chalet,910.0,6,6,36.5243993,-4.9161964,calle Wagner
14500000.0,chalet,910.0,6,6,36.5246376,-4.9161863,Barrio Sierra Blanca
14500000.0,chalet,910.0,6,7,36.5219116,-4.9143901,"calle Albinoni, 8"
14500000.0,chalet,910.0,6,7,36.5222059,-4.9178854,calle Wagner
14500000.0,chalet,910.0,6,6,36.5230684,-4.912883,Barrio Sierra Blanca
14500000.0,chalet,1605.0,8,7,36.5181682,-5.0028678,"Urbanizacion el Herrojo, 236"
13995000.0,chalet,1318.0,5,5,36.5093315,-4.8876497,Barrio Casco Antiguo
13995000.0,chalet,1318.0,5,5,36.5026824,-4.9371781,Urbanizacion Villa Parra Palomeras
13950000.0,chalet,1992.0,16,15,36.4751497,-5.0417091,"carretera de Benahavis, 495"
13950000.0,chalet,931.0,7,6,36.522738,-4.92403,calle Lago de los Cisnes s/n
13950000.0,chalet,1283.0,15,13,36.4746738,-5.0406718,El Paraíso
13950000.0,chalet,1337.0,16,16,36.4728156,-5.0365745,Barrio Paraiso-Barronal
13950000.0,chalet,1992.0,16,16,36.5212548,-5.0466009,Benahavís
13950000.0,chalet,890.0,16,16,36.476251,-5.043489,calle Castaño
13950000.0,chalet,1269.0,15,15,36.4764461,-5.0414925,carretera de Benahavis
13950000.0,chalet,931.0,7,8,36.5286684,-4.9237952,"Diseminado Poligono 03, 3"
13950000.0,chalet,1114.0,7,8,36.5206453,-4.9162803,calle Albinoni
13950000.0,chalet,1337.0,16,16,36.4741911,-5.0435607,calle Castaño
13950000.0,chalet,921.0,7,7,36.5187586,-4.8876883,UR LOS PICOS-NAGUELES 3 N2-10 Es:1 Pl:00 Pt:01 UR SIETE PICOS 29 s/n
13950000.0,chalet,1294.0,16,16,36.4762213,-5.0424172,calle Castaño
13950000.0,chalet,1337.0,16,16,36.4750207,-5.0463665,Los Flamingos
13950000.0,chalet,1336.0,16,16,36.4717087,-5.0347127,Barrio Paraiso-Barronal
13950000.0,chalet,1337.0,16,16,36.4764958,-5.0417777,El Paraíso
13950000.0,chalet,931.0,7,6,36.5302481,-4.9218067,Barrio Nagüeles
13950000.0,chalet,931.0,7,8,36.5269495,-4.9249008,Barrio Nagüeles
13800000.0,chalet,738.0,6,6,36.5106582,-5.0043502,"calle Delfos, 1"
13800000.0,chalet,738.0,6,9,36.5136395,-4.9998499,Urbanización Hills
13800000.0,chalet,738.0,6,6,36.5100571,-5.0009728,La Quinta
13800000.0,chalet,738.0,6,6,36.5116872,-5.0042443,La Quinta
13800000.0,chalet,738.0,6,9,36.5114035,-5.0022928,calle Charlton
13800000.0,chalet,976.0,6,9,36.5125632,-5.002771,La Quinta
13800000.0,chalet,738.0,6,6,36.5105763,-5.0027311,Urbanizacion el Herrojo
13800000.0,chalet,738.0,6,6,36.5124224,-5.0050644,calle Delfos
13800000.0,chalet,738.0,6,6,36.5099349,-5.0062394,La Quinta
13750000.0,chalet,760.0,5,5,36.526388,-4.9109307,"calle Bach, 5 -143"
13750000.0,chalet,873.0,5,6,36.5277544,-4.9112713,"Lugar Urbanizacion Sierra Blanca, 77 --A"
13750000.0,chalet,1605.0,7,7,36.5199862,-4.9965541,"avenida Tomás Pascual, 194"
13500000.0,chalet,1070.0,10,9,36.4615042,-5.0368591,Barrio Paraiso-Barronal
13500000.0,chalet,1070.0,11,9,36.4610791,-5.0340327,calle Geranio
13500000.0,chalet,1691.0,6,7,36.5425577,-5.0285021,La Zagaleta
13500000.0,chalet,1070.0,11,10,36.4619263,-5.0353753,calle Geraneo
13500000.0,chalet,1069.0,8,8,36.4229829,-5.1441383,Barrio Centro
13500000.0,chalet,1069.0,8,8,36.4614549,-5.0363206,Barrio Paraiso-Barronal
13500000.0,chalet,1069.0,8,8,36.4634611,-5.0375733,Barrio Paraiso-Barronal
13100000.0,chalet,1070.0,5,7,36.503164,-4.9362133,Barrio Las Lomas de Río Verde
13000000.0,chalet,1157.0,5,5,36.5010675,-4.9343263,Barrio Las Lomas de Río Verde
13000000.0,chalet,1318.0,5,5,36.5003953,-4.9399236,"El Oasis de Marbella, 38"
12950000.0,chalet,1674.0,7,7,36.5255769,-5.0224104,La Zagaleta
12900000.0,chalet,1303.0,10,11,36.4659631,-5.0053352,"Urbanizacion Guadalmina Baja, 39"
12900000.0,chalet,2702.0,8,8,36.5441325,-5.0231872,LA ZAGALETA s/n
12900000.0,chalet,1033.0,6,7,36.5094742,-4.9645688,Barrio Aloha
12900000.0,chalet,1585.0,8,8,36.5087123,-4.9174894,bulevar Príncipe Alfonso de Hohenlohe
12700000.0,chalet,1200.0,12,14,36.5182548,-5.0141477,calle Del Monte
12700000.0,chalet,1339.0,12,14,36.5220743,-5.0070562,"calle del Alcuzcuz, 1"
12700000.0,chalet,1339.0,12,14,36.5260884,-5.0465859,Benahavís
12500000.0,chalet,1229.0,6,6,36.5025028,-4.8264747,Barrio Los Monteros
12500000.0,chalet,1229.0,6,6,36.5011087,-4.8265481,calle Jabalí
12500000.0,chalet,1172.0,6,7,36.5110996,-5.0019246,the hills s/n
12500000.0,chalet,1480.0,9,11,36.5388,-4.781092,Urbanización Las Chapas s/n
12500000.0,chalet,934.0,6,10,36.5137246,-4.9997111,Urbanización Hills
12500000.0,chalet,560.0,5,7,36.5267853,-4.9012374,"calle Olivar, 31"
12500000.0,chalet,1229.0,6,7,36.5031058,-4.8271378,Barrio Los Monteros
12500000.0,chalet,2200.0,9,11,36.5767454,-4.8727354,Ojén pueblo
12450000.0,countryHouse,774.0,6,6,36.5261356,-4.9146835,Barrio Sierra Blanca
12450000.0,chalet,774.0,6,8,36.5269037,-4.9177826,Urbanización Marbella Sierra Blanca
12450000.0,chalet,774.0,6,6,36.5284983,-4.9159082,Barrio Sierra Blanca
12000000.0,chalet,1500.0,8,9,36.5212294,-5.0461684,Benahavís
12000000.0,chalet,1137.0,9,9,36.5126996,-4.9121863,calle Teba
12000000.0,chalet,824.0,5,7,36.5383775,-5.0135649,Urb Coto La Zagaleta 12 A1
12000000.0,chalet,682.0,6,7,36.5083357,-4.8862406,Barrio Casco Antiguo
12000000.0,chalet,1466.0,8,9,36.4774698,-5.050296,Los Flamingos
12000000.0,chalet,900.0,6,6,36.4769393,-5.0525368,Los Flamingos
12000000.0,chalet,1400.0,8,8,36.5288346,-4.8345239,calle DEL GENERAL
12000000.0,chalet,1082.0,6,7,36.5302416,-4.9111537,calle Vivaldi
12000000.0,chalet,722.0,5,5,36.5414898,-5.0226465,"Lugar Finca Zagaleta, 12 H"
12000000.0,chalet,682.0,6,7,36.5235494,-4.9201547,"calle Campanillas, 2"
12000000.0,chalet,872.0,5,6,36.5364963,-5.0131434,Lugar Finca Zagaleta
12000000.0,chalet,2393.0,8,14,36.5052864,-4.8255974,Barrio Los Monteros
12000000.0,chalet,1466.0,8,9,36.4788391,-5.0477699,calle James Dean
12000000.0,chalet,682.0,6,7,36.5243773,-4.9167095,Barrio Sierra Blanca
12000000.0,chalet,1164.0,11,8,36.522771,-4.9138812,Barrio Sierra Blanca
11995000.0,chalet,1580.0,7,12,36.496469,-5.0524686,Montemayor-Marbella Club
11995000.0,chalet,1600.0,7,12,36.4984763,-5.064498,Montemayor-Marbella Club
11950000.0,chalet,2200.0,8,10,36.5245513,-4.9155236,calle Wagner
11950000.0,chalet,2225.0,9,11,36.5253309,-4.9160801,"calle Mozart, 14"
11950000.0,chalet,2374.0,8,10,36.5222569,-4.9166454,calle Wagner
