Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
12900000.0,countryHouse,20952.0,25,25,36.9311076,-5.810128,carretera Las Cabezas-Villamartin s/n
8000000.0,chalet,1725.0,14,10,37.3870039,-5.988646,Barrio Santa Cruz - Alfalfa
7900000.0,countryHouse,472.0,11,8,37.0479463,-5.1795594,Villanueva de San Juan
7800000.0,chalet,1800.0,14,10,37.3877027,-5.9981986,Barrio Arenal - Museo - Tetuán
7000000.0,countryHouse,3525.0,7,7,38.022928,-5.7815944,Guadalcanal
6500000.0,countryHouse,265.0,3,2,37.5251425,-5.4508151,Pre. Realengo-Cañuela-El Palo-La Broncha-Noreta s/n
6500000.0,countryHouse,332000.0,1,1,37.5753674,-5.4577083,La Campana
5500000.0,countryHouse,502.0,6,3,37.0147583,-5.3832545,camino Diseminado Gaena
5500000.0,countryHouse,3000.0,12,7,37.2766274,-5.9270958,"plaza de España, 1"
5450000.0,chalet,930.0,7,7,37.3923491,-5.9870108,Barrio Puerta Carmona-Puerta Osario-Amador de los Ríos
5000000.0,countryHouse,1000.0,10,5,37.1472961,-5.4331908,carretera Puebla Cazalla SE-451
5000000.0,countryHouse,2869.0,10,5,37.1980984,-5.2340997,La Puebla de Cazalla
5000000.0,chalet,1150.0,14,9,37.3854471,-5.9995662,Barrio Arenal - Museo - Tetuán
4950000.0,chalet,994.0,4,7,37.3897673,-5.9889635,plaza de la Alfalfa
4775000.0,chalet,2947.0,12,11,37.4749791,-5.7926403,Carmona
4600000.0,chalet,1267.0,12,18,37.926176,-5.7596039,Cazalla de la Sierra
4550000.0,countryHouse,4000.0,6,2,37.5078422,-5.7717055,Carmona
4300000.0,flat,476.0,3,3,37.3884409,-5.9967139,calle Méndez Núñez
4200000.0,countryHouse,1235.0,9,7,37.34369,-6.0882117,camino de Bollullos
4000000.0,chalet,590.0,13,13,37.3914456,-5.9979322,plaza del Museo
4000000.0,penthouse,400.0,3,2,37.389235,-5.9999651,"calle Julio César, 1"
3800000.0,chalet,7700.0,4,2,37.3186392,-5.8470781,Oromana
3500000.0,flat,459.0,4,5,37.3776611,-5.9981396,Barrio Plaza de Cuba - República Argentina
3400000.0,chalet,886.0,10,8,37.3846261,-5.9886254,Barrio Santa Cruz - Alfalfa
3250000.0,chalet,525.0,5,6,37.3908071,-5.9893064,Barrio Santa Cruz - Alfalfa
3250000.0,chalet,445.0,7,4,37.3922408,-5.9967584,"SILENCIO, 5"
3200000.0,countryHouse,666.0,5,5,37.6789044,-6.2503099,El Castillo de las Guardas
3200000.0,countryHouse,1000.0,9,2,37.4471512,-5.6663153,Carmona
3200000.0,chalet,480.0,11,11,37.392214,-5.9965822,Barrio Encarnación-Las Setas
3120000.0,chalet,1968.0,14,10,37.387636,-6.1398433,Loreto
3100000.0,chalet,1075.0,28,22,37.3903242,-6.0002206,Barrio Arenal - Museo - Tetuán
3065000.0,chalet,458.0,6,6,37.3874544,-5.99645,Barrio Arenal - Museo - Tetuán
3000000.0,flat,236.0,5,4,37.3795939,-5.9865018,Barrio Prado de San Sebastián - Ramón Carande
3000000.0,chalet,500.0,7,6,37.3862259,-5.9961538,Barrio Arenal - Museo - Tetuán
3000000.0,chalet,1213.0,10,4,37.4737573,-5.6374527,"Plazuela del Marqués de Torres, 2"
3000000.0,chalet,450.0,5,4,37.3869983,-5.997305,calle velarde
3000000.0,flat,234.0,5,4,37.3791932,-5.9866122,calle Diego de Riaño
2900000.0,penthouse,300.0,5,5,37.3782334,-5.9980765,Barrio Plaza de Cuba - República Argentina
2850000.0,chalet,850.0,7,7,37.3594885,-6.0669406,avenida de las Begonias
2850000.0,chalet,850.0,6,5,37.3621811,-6.0661963,El Zaudín - Club de Golf
2750000.0,chalet,890.0,6,6,37.3411579,-6.0393814,Simon Verde
2650000.0,chalet,840.0,24,20,37.3892307,-5.9919121,Barrio Santa Cruz - Alfalfa
2600000.0,chalet,553.0,5,7,37.3944093,-5.9978085,calle Cardenal Spínola
2600000.0,chalet,553.0,4,5,37.3953,-5.9955024,Barrio Plaza de la Gavidia-San Lorenzo
2550000.0,countryHouse,1259.0,11,12,36.9674057,-5.440522,camino Morón a Montellano
2500000.0,chalet,553.0,5,7,37.3960082,-5.9957149,calle Cardenal Spínola
2500000.0,chalet,333.0,4,4,37.3948367,-5.9994613,"calle San Vicente, 27 -19"
2500000.0,chalet,304.0,12,12,37.3946109,-6.0001111,Barrio Plaza de la Gavidia-San Lorenzo
2500000.0,flat,300.0,4,4,37.386631,-5.9943904,avenida de la Constitución - Plaza Nueva - EL Arenal
2500000.0,flat,343.0,5,5,37.3866908,-5.9927122,Barrio Arenal - Museo - Tetuán
2400000.0,chalet,622.0,10,10,37.381571,-6.0014464,calle Luz Arriero
2300000.0,flat,357.0,4,5,37.3767441,-6.0048898,Barrio Plaza de Cuba - República Argentina
2300000.0,countryHouse,1400.0,12,6,37.4324547,-6.0548695,avenida de la Virgen del Rocío
2250000.0,countryHouse,700.0,11,6,37.4026907,-5.7668273,Carmona
2200000.0,chalet,1400.0,12,8,37.4129323,-6.0782152,Valencina de la Concepcion
2200000.0,countryHouse,1400.0,10,8,37.4246187,-6.0747957,Valencina de la Concepcion
2145000.0,chalet,406.0,6,5,37.3267444,-5.9376375,Olivar de Quintos
2100000.0,chalet,415.0,7,5,37.3922843,-5.9997453,Barrio Plaza de la Gavidia-San Lorenzo
2000000.0,countryHouse,220.0,6,2,37.3805227,-5.7908593,Vista Sevilla
2000000.0,chalet,1000.0,1,1,37.1921888,-4.9393608,Gilena
1995000.0,countryHouse,300.0,5,4,37.2881756,-4.8803635,calle San Francisco
1950000.0,chalet,504.0,15,13,37.3887385,-6.0067054,calle Procurador
1950000.0,flat,327.0,7,3,37.3942848,-5.9976414,Barrio Arenal - Museo - Tetuán
1950000.0,chalet,505.0,5,5,37.3321736,-5.8975197,Torrequinto
1950000.0,chalet,2500.0,11,4,37.1787633,-5.1144087,Osuna
1900000.0,chalet,422.0,6,4,37.3940063,-5.9986549,Barrio San Vicente
1900000.0,chalet,400.0,5,5,37.8753087,-5.6184739,Constantina
1900000.0,chalet,763.0,7,7,37.3516688,-6.0366963,calle Ciaurriz
1900000.0,chalet,505.0,6,5,37.332733,-5.8971289,Torrequinto
1900000.0,countryHouse,2003.0,7,4,37.3235292,-6.0545677,calle Iglesia
1900000.0,flat,427.0,4,4,37.390756,-5.9983814,Barrio Arenal - Museo - Tetuán
1825000.0,chalet,380.0,5,4,37.3951431,-6.0003333,puerta Real
1800000.0,chalet,300.0,5,5,37.3902616,-5.9873769,plaza de San Leandro
1800000.0,chalet,767.0,22,24,37.3955162,-5.9920449,Barrio Encarnación-Las Setas
1800000.0,chalet,441.0,6,5,37.3914461,-5.9974941,ALFONSO XII
1800000.0,chalet,732.0,6,6,37.2721805,-5.9468132,La Motilla - Fuente del Rey
1800000.0,chalet,455.0,7,4,37.3934785,-6.0019038,Barrio Arenal - Museo - Tetuán
1790000.0,chalet,706.0,5,7,37.4042658,-5.9546137,Barrio Santa Clara
1785000.0,flat,267.0,3,3,37.3850408,-5.9965528,Barrio Arenal - Museo - Tetuán
1750000.0,countryHouse,1476.0,8,3,37.9887513,-5.9886877,SE-179
1750000.0,chalet,512.0,6,4,37.3848043,-6.0546041,Castilleja de la Cuesta
1750000.0,chalet,370.0,8,4,37.3911064,-5.9967279,Barrio Arenal - Museo - Tetuán
1700000.0,chalet,672.0,4,4,37.2858719,-5.9462372,ronda de Altair s/n
1675000.0,countryHouse,500.0,5,4,37.8622348,-5.5646077,Constantina s/n
1670000.0,chalet,631.0,7,7,37.3649083,-6.0602363,El Zaudín - Club de Golf
1500000.0,flat,321.0,5,4,37.3804077,-5.9989323,Génova s/n
1500000.0,chalet,770.0,8,5,37.3406748,-5.9409277,FUENTEQUINTILLO
1500000.0,chalet,796.0,4,4,37.2804154,-5.9421679,La Motilla - Fuente del Rey
1500000.0,countryHouse,382.0,11,5,37.195298,-4.9005437,A-353
1500000.0,countryHouse,2220.0,11,11,37.2158668,-5.3010773,"SE-458, 62"
1500000.0,chalet,465.0,6,5,37.3746128,-6.0344378,Santa Eufemia
1500000.0,chalet,816.0,5,7,37.3780037,-6.0392062,Santa Eufemia
1500000.0,countryHouse,1238.0,10,11,36.9904714,-5.2104118,Pruna
1500000.0,countryHouse,95000.0,1,1,36.9716505,-5.4082158,via Verde de la Sierra
1500000.0,chalet,1126.0,5,5,37.2722885,-5.9529196,La Motilla - Fuente del Rey
1500000.0,chalet,465.0,6,4,37.377155,-6.0358394,Santa Eufemia
1500000.0,chalet,2003.0,7,4,37.3244999,-6.056732,calle Iglesia
1500000.0,chalet,543.0,5,3,37.3391668,-5.8545819,Centro
1500000.0,chalet,390.0,4,3,37.3872063,-5.9982806,Barrio Arenal - Museo - Tetuán
1499990.0,chalet,290.0,5,5,37.3568285,-5.9864831,calle Honduras
1495000.0,chalet,447.0,8,4,37.3949544,-5.9902573,Barrio Encarnación-Las Setas
1495000.0,chalet,405.0,5,3,37.325128,-5.9318071,Olivar de Quintos
1495000.0,chalet,380.0,5,4,37.3245075,-5.9319528,Olivar de Quintos
1490900.0,chalet,475.0,4,5,37.3901322,-5.9884703,Barrio Santa Cruz - Alfalfa
1490000.0,chalet,475.0,5,4,37.3887724,-5.9890385,"calle Vírgenes, 99"
1490000.0,chalet,290.0,4,2,37.3893535,-5.9932934,Barrio Santa Cruz - Alfalfa
1490000.0,chalet,360.0,3,5,37.3984686,-5.994788,Barrio Plaza de la Gavidia-San Lorenzo
1490000.0,chalet,284.0,4,3,37.3879359,-5.9950822,Barrio Santa Cruz - Alfalfa
1475000.0,chalet,266.0,5,5,37.3896808,-5.999614,calle San Roque
1450000.0,chalet,400.0,7,4,37.3899032,-5.9997498,Barrio Arenal - Museo - Tetuán
1425000.0,chalet,861.0,12,8,37.4035385,-5.9512877,calle Conde de Osborne
1423465.0,chalet,861.0,8,8,37.401878,-5.9483218,calle Conde de Osborne
1423465.0,chalet,800.0,11,11,37.4026925,-5.9518192,calle Conde de Osborne
1423465.0,chalet,980.0,11,11,37.4028989,-5.9528125,calle Conde de Osborne
1420000.0,chalet,520.0,6,5,37.3814607,-6.0445711,Camas
1400000.0,chalet,453.0,5,7,37.3903651,-5.9897234,Barrio Santa Cruz - Alfalfa
1400000.0,chalet,509.0,5,8,37.360646,-6.0656506,avenida Mimosas
1400000.0,penthouse,300.0,4,4,37.3952709,-5.995787,calle Javier Lasso de la Vega
1400000.0,countryHouse,700.0,11,11,37.7263774,-6.1717727,SE-186 s/n
1400000.0,chalet,1125.0,6,5,37.3327964,-5.8351382,Nueva Alcalá
1400000.0,chalet,1000.0,9,8,37.4730225,-5.6396944,Carmona
1400000.0,chalet,936.0,9,7,37.3457294,-6.0341302,Simon Verde
1400000.0,flat,364.0,6,4,37.3860683,-5.9995095,Barrio Arenal - Museo - Tetuán
1400000.0,chalet,890.0,7,7,37.2296675,-6.155961,La Puebla del Rio
1400000.0,countryHouse,1427.0,5,5,37.4232436,-5.2686241,Écija
1400000.0,chalet,1500.0,1,1,37.3571827,-6.2780899,Huévar
1400000.0,chalet,305.0,5,4,37.346472,-5.9154398,Campo de Golf
1395000.0,chalet,682.0,6,4,37.3465317,-6.03184,Gelves
1395000.0,chalet,604.0,5,5,37.3302328,-5.9390164,Cerros de Montequinto
1395000.0,chalet,681.0,5,3,37.3438641,-6.0330628,Gelves
1390000.0,penthouse,304.0,4,3,37.391982,-5.9946602,plaza del Duque de la Victoria
1350000.0,chalet,326.0,5,3,37.353127,-5.9258674,Campo de Golf
1350000.0,chalet,578.0,7,5,37.3434432,-6.032766,"MORAIMA, Simón Verde"
1350000.0,chalet,333.0,6,5,37.356307,-5.9216411,avenida Pan de Alcalá
1350000.0,chalet,452.0,7,6,37.3639569,-6.0604381,avenida Jacaranda
1350000.0,chalet,564.0,7,7,37.3667081,-6.0608433,avenida Jacaranda
1350000.0,chalet,655.0,6,7,37.3623209,-6.0631445,"jacaranda, 10"
1350000.0,chalet,422.0,6,4,37.3753741,-5.9815558,Barrio El Porvenir
1350000.0,chalet,300.0,5,3,37.3886885,-5.9997805,"calle Reyes Católicos, 7"
1350000.0,chalet,140.0,3,2,37.388105,-5.9877296,Barrio Santa Cruz - Alfalfa
1350000.0,chalet,2900.0,14,8,37.289732,-4.8786917,Estepa
1350000.0,chalet,336.0,7,4,37.3894973,-5.9963125,calle Moratín
1350000.0,chalet,590.0,5,4,37.3663078,-6.0596714,avenida los Sauces
1350000.0,flat,242.0,4,2,37.3886727,-6.0022038,calle Reyes Católicos
1350000.0,chalet,586.0,5,4,37.3661681,-6.0585621,avenida los Sauces
1350000.0,chalet,590.0,5,4,37.3672255,-6.0611182,avenida los Sauces
1350000.0,countryHouse,1125.0,13,10,37.3759703,-5.8410534,La Paz - Montecarmelo
1350000.0,countryHouse,700.0,9,5,37.286485,-5.9222545,El Arenal - La Pólvora
1300000.0,chalet,813.0,6,7,37.5790963,-6.0934384,Las Pajanosas
1300000.0,chalet,813.0,5,5,37.5773964,-6.0924229,"calle Berlín, 2 -14"
1300000.0,chalet,643.0,6,6,37.3746524,-6.0375699,calle la Noria
1300000.0,chalet,556.0,7,7,37.4006672,-6.0670084,Diseminado Extrarradio
1300000.0,countryHouse,1200.0,6,5,37.2764977,-6.0438798,carretera se-686 s/n
1300000.0,countryHouse,400.0,4,5,37.5190299,-5.9788669,plaza de España
1300000.0,countryHouse,595.0,7,4,37.2902728,-6.0406553,Coria del Río
1300000.0,chalet,420.0,4,1,37.3990543,-5.9972372,Barrio Plaza de la Gavidia-San Lorenzo
1299000.0,chalet,237.0,9,4,37.3832558,-5.9918219,Barrio Santa Cruz - Alfalfa
1295000.0,chalet,268.0,5,3,37.3939056,-5.992784,calle Quevedo
1290000.0,flat,370.0,6,3,37.3762077,-6.005324,avenida de la República Argentina
