Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
2500.0,chalet,126.0,1,1,37.6745928,-2.9712564,rambla Derecha
4000.0,chalet,76.0,1,1,37.7216894,-3.9675094,calle Motril
4000.0,chalet,68.0,1,1,37.7224739,-3.9707922,Martos
4800.0,chalet,40.0,1,1,37.9341122,-4.0521434,calle Alhamar
5000.0,chalet,181.0,1,1,38.0302332,-3.1021686,calle Maestro Manuel Plaza
5000.0,chalet,61.0,2,1,37.7676317,-3.7937101,"calle Buenavista, 24"
5700.0,countryHouse,60.0,3,0,38.1130689,-3.0862043,"calle Antón Pérez, 31"
7000.0,chalet,245.0,1,0,38.2433295,-3.0526277,calle Lope de Vega
7500.0,chalet,72.0,2,1,37.5926367,-4.0857467,"calle Palomar, 10"
7800.0,chalet,190.0,4,1,38.24604,-3.20822,"calle Cádiz, 34"
8000.0,chalet,100.0,3,2,37.7241882,-3.9658746,calle Carnicerias s/n
8000.0,chalet,102.0,2,1,37.9114706,-3.1265121,"calle Santa Maria de la Cabeza, 28"
8500.0,flat,70.0,3,1,38.0953755,-3.7711882,calle Paquita Torres
8500.0,chalet,123.0,3,1,37.5888037,-4.0875568,"calle Carnicería, 72"
9000.0,chalet,144.0,0,0,37.6729999,-3.5662209,Cambil
9000.0,chalet,90.0,2,1,37.9137504,-3.1255121,"calle Don Juan, 10"
9200.0,chalet,73.0,2,1,37.7226144,-3.9702232,calle Motril
9900.0,chalet,100.0,3,1,37.9971967,-3.5448359,Lupion
9900.0,chalet,171.0,5,1,37.7075524,-2.9314856,"calle Carasoles, 51"
10000.0,chalet,100.0,2,1,37.7711289,-3.7945044,"plaza Santa Luisa de Marillac, 6"
10000.0,countryHouse,90.0,3,2,38.2677581,-2.7422216,"carretera de El Puerto / Arroyo Frío, 9"
10000.0,chalet,160.0,4,1,38.2519,-2.88569,"calle Cervantes, 31"
10000.0,countryHouse,3888.0,0,0,37.7623212,-3.9641069,Torredonjimeno
11000.0,countryHouse,200.0,4,1,37.7044827,-2.9345056,"calle Plato, 16"
11500.0,chalet,75.0,2,1,37.4697131,-3.8382603,Ribera Alta
12000.0,chalet,215.0,0,0,37.6726699,-3.5640822,Cambil
12000.0,chalet,130.0,2,1,37.5278489,-3.9424385,"calle Pascual Leyva, 12"
12000.0,chalet,130.0,2,1,37.5262927,-3.943329,calle Pascual Leyva
12000.0,chalet,51.0,3,2,37.8481018,-3.0653439,calle Pablo Iglesias
12000.0,chalet,110.0,3,1,37.7182399,-3.9699874,"calle baja santa lucia, 58"
12000.0,countryHouse,115.0,3,2,38.1837566,-3.6864121,"Diseminado Ventorrillo, 5"
12000.0,countryHouse,100.0,2,2,37.7236889,-3.380371,"calle Primero de Mayo, 45 -47"
12000.0,countryHouse,70.0,0,0,37.7998352,-4.1594891,"calle Arenal, 11"
12000.0,chalet,134.0,3,1,38.2469239,-3.2084881,Santisteban del Puerto
12100.0,flat,108.0,2,1,37.7214713,-3.9675509,"calle Real de San Fernando, 58"
12300.0,chalet,105.0,3,1,38.072153,-3.5864045,"calle Vista Alegre Centro, 13"
