Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
4200000.0,countryHouse,431.0,4,4,38.3278014,-3.5135558,Santa Elena
3300000.0,countryHouse,3155.0,46,46,37.7399012,-2.9186051,Pozo Alcon
1990000.0,chalet,600.0,8,6,38.4078004,-2.6049412,carretera de la Dehesa del Oso
1799000.0,chalet,564.0,4,4,37.8430498,-3.060997,Quesada
1700000.0,countryHouse,280.0,6,3,38.0347273,-4.0458958,Andújar
1600000.0,countryHouse,1050.0,1,0,37.7149812,-3.7651709,DS Puente de la Sierra
1600000.0,countryHouse,115992.0,3,2,37.7626303,-3.7952291,calle de Puerto Alto
1500000.0,chalet,565.0,7,4,37.770515,-3.6973257,Urbanización Las Lomas
1500000.0,chalet,565.0,7,4,37.7670671,-3.6975016,Urbanizacion las Lomas
1400000.0,countryHouse,600.0,7,3,37.7948136,-3.7797652,carretera de Madrid s/n
1400000.0,countryHouse,600.0,7,3,37.7955621,-3.7787079,Puente Tablas - Puente Nuevo - Cerro Molina
1400000.0,chalet,1122.0,8,5,37.99003,-3.46703,Baeza
1400000.0,countryHouse,600.0,7,3,37.7942183,-3.7781619,Puente Tablas - Puente Nuevo - Cerro Molina
1290000.0,countryHouse,438.0,5,5,38.2819349,-3.631616,La Carolina
1250000.0,countryHouse,1421.0,14,10,37.5307425,-4.0642808,Cortijo Las Salinas s/n
1049000.0,countryHouse,695.0,12,5,37.7572172,-3.7917659,"camino Jardín del Obispo, 264"
1000000.0,countryHouse,774.0,3,2,37.6762204,-3.4206886,el gargantón
1000000.0,countryHouse,650.0,7,3,38.2404908,-3.0534365,"avenida de Juan Carlos I, 4"
1000000.0,countryHouse,400.0,9,7,37.7378107,-3.7403013,Casa Dehesa San Cristóbal s/n
1000000.0,chalet,774.0,2,2,37.713171,-3.4072499,JV-3224
1000000.0,chalet,800.0,9,4,37.7700628,-3.7076122,"carretera N-323, 7"
995000.0,chalet,850.0,21,9,37.76651,-3.7870837,"calle Hurtado, 24"
980000.0,chalet,670.0,12,5,38.0306185,-3.4439662,Baeza
950000.0,chalet,539.0,5,4,38.0081037,-3.3692975,plaza Primero de Mayo
950000.0,countryHouse,670.0,10,5,38.03271,-3.44933,"carretera Yedra, 2"
900000.0,chalet,800.0,4,3,38.022817,-3.3484258,Ubeda
890000.0,chalet,380.0,6,4,38.094644,-3.6295965,"calle Viriato, 24"
850000.0,countryHouse,630.0,11,3,38.0392678,-4.0543596,"calle Ollerías, 34"
849000.0,countryHouse,1900.0,19,17,38.0139054,-3.3866157,A-401 s/n
825600.0,chalet,579.0,6,4,37.9953982,-3.4722983,"calle San Andrés, 10"
800000.0,chalet,1200.0,20,14,37.9905348,-3.4682537,Baeza
800000.0,chalet,360.0,5,2,38.0094774,-3.3661002,Ubeda
800000.0,chalet,1000.0,7,6,38.0439861,-3.2997702,camino de Bandoleros
800000.0,countryHouse,300.0,1,1,38.2153098,-2.7171317,A-317a s/n
800000.0,chalet,800.0,10,6,37.9929045,-3.4666635,"calle San Pablo, 51"
796000.0,chalet,521.0,5,5,37.7683308,-3.7355162,La Guardia de Jaén
775000.0,countryHouse,650.0,17,17,37.7021292,-2.9307008,"carretera de la bolera, 4"
750000.0,chalet,610.0,6,4,37.7794219,-3.7816448,Belén - San Roque
750000.0,countryHouse,350.0,4,2,38.2499745,-3.2072063,"calle Torrecilla, 51"
739900.0,countryHouse,866.0,20,14,37.9915858,-3.4695684,"calle Conde Romanones, 13"
700000.0,chalet,450.0,5,3,38.09552,-3.62267,San Gonzalo
695000.0,chalet,449.0,7,4,38.0940328,-3.6202515,calle Italia
690000.0,chalet,1100.0,18,11,38.2529447,-2.7358643,Segura de la Sierra
690000.0,countryHouse,307.0,3,1,38.3085215,-3.6833216,"camino de las Minas, 8"
663300.0,chalet,4178.0,1,1,37.7711008,-3.9573988,calle Celadas
660000.0,chalet,750.0,9,6,38.0181212,-3.3721468,carretera de Vilches
650000.0,chalet,506.0,5,4,37.6474567,-3.4416429,"A-324, 72"
