Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
10000.0,flat,48.0,2,1,37.3841837,-5.9002692,Barrio Torreblanca
12000.0,flat,71.0,3,1,37.3572423,-5.9704988,calle Padre José Sebastián Bandarán
12000.0,chalet,32.0,0,0,37.4602356,-5.3463134,"calle Comandante Baeza, 27"
12200.0,flat,38.0,2,1,37.3620873,-6.0366325,calle Venezuela
12200.0,flat,38.0,2,1,37.3603995,-6.0352722,calle Venezuela
12200.0,flat,38.0,2,1,37.3631166,-6.034936,calle Venezuela
13500.0,flat,46.0,2,1,37.3606039,-6.0352473,calle Bolivia
13500.0,flat,46.0,2,1,37.3631085,-6.0329055,calle Bolivia
13500.0,chalet,57.0,1,1,37.65233,-5.71912,"calle San Mateo, 6"
13700.0,flat,40.0,2,1,37.3861437,-5.8969469,calle Manzano
13700.0,flat,40.0,2,1,37.3837937,-5.8969157,calle Manzano
13800.0,chalet,49.0,2,1,37.3847886,-5.8977059,"calle Acanto, 2"
13900.0,flat,48.0,1,1,37.3843338,-5.9038204,calle Nogal
13900.0,flat,48.0,1,1,37.385503,-5.9017972,calle Nogal
14000.0,flat,93.0,2,1,37.8770183,-5.6224777,Constantina
14400.0,flat,46.0,1,1,37.3604839,-6.0365774,calle Venezuela
14400.0,flat,46.0,1,1,37.360361,-6.034103,calle Venezuela
15000.0,flat,48.0,2,1,37.3825647,-5.9018199,"calle Encina, 5 -1"
15100.0,chalet,64.0,2,1,37.3858266,-5.8975178,calle Higuera
15400.0,chalet,48.0,2,1,37.3837136,-5.8981456,calle Manzano
15400.0,chalet,48.0,2,1,37.3860333,-5.8963835,calle Manzano
15700.0,chalet,60.0,2,1,37.3838589,-5.897222,calle Manzano
15700.0,chalet,60.0,2,1,37.386876,-5.8961881,calle Manzano
15900.0,flat,48.0,2,1,37.3831873,-5.902212,calle Pino
15900.0,flat,48.0,2,1,37.3850097,-5.9001121,calle Pino
16200.0,flat,38.0,2,1,37.3620143,-6.0351399,calle Amantina Cobos
16500.0,flat,48.0,2,1,37.3845651,-5.9004604,calle Abedul
16500.0,flat,48.0,2,1,37.3817076,-5.9012206,calle Pino
16500.0,flat,48.0,2,1,37.3823655,-5.8989861,calle Abedul
16500.0,flat,48.0,2,1,37.3843406,-5.9006135,calle Pino
16800.0,flat,48.0,2,1,37.3809394,-5.9000609,calle Abedul
16900.0,flat,108.0,1,1,37.6553605,-5.7270736,Blas Infante
16900.0,chalet,108.0,3,1,37.6543345,-5.7184539,Blas Infante
16900.0,flat,195.0,1,1,37.6547182,-5.7191139,Villanueva del Rio y Minas
17000.0,flat,48.0,3,1,37.3846813,-5.9017158,calle Abedul
17000.0,flat,46.0,2,1,37.3834509,-5.9007279,calle Almendro
17300.0,flat,46.0,2,1,37.3822002,-5.9003902,calle Encina
17400.0,flat,44.0,2,1,37.3626586,-6.0355751,calle Panamá
17500.0,chalet,55.0,3,1,37.6538563,-5.7216734,"Blas Infante, 148"
17900.0,flat,48.0,2,1,37.3836909,-5.9035202,calle Nogal
18000.0,chalet,90.0,3,1,36.9744078,-5.2192558,"calle Miguel Sanchez, 72"
18000.0,flat,44.0,1,1,37.3598227,-6.0357445,calle Uruguay
