Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
5800.0,countryHouse,168.0,4,1,37.1184907,-2.5389597,el almendral s/n
9000.0,chalet,60.0,2,1,37.3534307,-2.2984668,calle San Antonio
9500.0,chalet,115.0,3,1,37.354983,-2.2966074,Olula del Río
9900.0,chalet,81.0,3,2,37.0386853,-2.7446748,"calle Lucero, 3"
10000.0,flat,45.0,2,1,36.8407065,-2.4765117,calle Juan Goytisolo
10000.0,chalet,100.0,3,0,37.3487917,-2.0757487,El Arroyo Aceituno s/n
10500.0,chalet,56.0,2,1,37.0091894,-2.7413277,avenida de las Alpujarras
12000.0,flat,39.0,2,1,36.8390226,-2.474336,calle Juan Goytisolo
12000.0,flat,39.0,2,1,36.838255,-2.4766922,calle Juan Goytisolo
12000.0,countryHouse,90.0,0,0,37.186,-2.20265,"calle la de Fuentecilla, 5"
13000.0,countryHouse,150.0,9,1,37.2611514,-2.2104687,"Ds Taller 1 Es: E PI : 00 PT:01 polígono 5 parcela 261 DI0700100WG72A, 1"
13500.0,chalet,128.0,2,1,37.3316279,-2.3024268,"calle Rubio, 19"
13900.0,flat,150.0,4,2,37.2960731,-2.3320717,"calle Medio, 7"
14000.0,chalet,111.0,1,1,37.143392,-2.7778665,calle Real
14000.0,flat,60.0,1,1,37.6895908,-2.0962646,calle Oriente
14000.0,flat,32.0,2,1,36.7674745,-2.6144024,calle Pablo Neruda
14000.0,chalet,258.0,4,1,37.6901061,-2.0941545,Vélez Blanco
14000.0,chalet,90.0,3,1,37.2927409,-2.1793269,Albanchez
14000.0,chalet,120.0,4,2,37.03708,-2.74389,"calle San Miguel, 14"
14800.0,flat,67.0,1,1,37.1059878,-2.646537,Nacimiento
15000.0,flat,55.0,2,1,36.8443036,-2.4678915,calle Luchana
15000.0,flat,59.0,2,1,36.8462552,-2.4719914,calle Alta de la Fuentecica
15000.0,flat,76.0,3,2,36.7659478,-2.6243362,calle Juan Ramón Jiménez
15000.0,flat,55.0,2,1,36.8418224,-2.4671203,calle Luchana
15000.0,chalet,120.0,5,1,37.4846082,-2.2946409,"calle Cambrones, 4"
15000.0,chalet,200.0,4,1,37.0385849,-2.7450079,"calle Príncipe, 3"
15000.0,chalet,210.0,3,1,37.1715116,-2.8395856,"calle Guadix, 12"
16000.0,flat,39.0,1,1,36.8391551,-2.474184,calle Juan Goytisolo
16000.0,countryHouse,240.0,0,0,37.1758789,-2.7343406,"calle santa teresa, 24 -27"
16000.0,chalet,102.0,3,1,37.3496572,-2.3608021,Purchena
16500.0,countryHouse,160.0,0,0,37.1181546,-2.5414607,calle Caribes s/n
17000.0,flat,45.0,3,1,36.8385162,-2.4752199,calle Juan Goytisolo
17000.0,flat,45.0,3,1,36.8400318,-2.4748083,calle Juan Goytisolo
17000.0,chalet,90.0,3,1,37.3504249,-2.3000594,Olula del Río
17000.0,countryHouse,38782.0,0,0,37.3954728,-2.134183,Albox
17000.0,countryHouse,179.0,1,1,37.3406458,-2.0391349,"calle Malecon, 6"
17500.0,countryHouse,150.0,3,3,37.18998,-2.09827,"Barrio las Provincias, 5"
17500.0,chalet,42.0,3,1,37.352595,-2.1955177,Cantoria
17900.0,chalet,185.0,4,2,36.9954975,-2.8949814,calle Manuel de Falla
18000.0,flat,76.0,3,1,36.7638189,-2.6237638,calle Gerardo Diego
18000.0,flat,144.0,3,1,36.8657161,-2.9681094,carretera Hirmes
18000.0,countryHouse,100.0,5,0,36.9673722,-2.6105449,"calle Naranjo, 1"
18000.0,chalet,84.0,2,1,37.3325394,-2.3012253,Macael
18061.0,flat,45.0,2,1,36.7573004,-2.6531188,"calle Joselito, 4 -2"
18900.0,flat,35.0,1,1,36.95161,-2.4916116,calle Mártires de la Libertad
19000.0,flat,48.0,2,1,36.8408764,-2.4771037,calle Juan Goytisolo
19000.0,chalet,150.0,2,1,37.3316331,-2.3064949,Macael
19000.0,chalet,123.0,7,2,37.3899028,-2.389159,Somontin
19000.0,countryHouse,66.0,4,1,37.3424,-2.51117,"callejón Quesadas, 4"
19000.0,chalet,101.0,1,1,37.3344099,-2.3038301,"calle Santiago, 30"
19500.0,chalet,60.0,3,1,37.3314424,-2.3026399,calle Barranco s/n
19500.0,chalet,120.0,3,1,37.3329079,-2.3036171,Macael
19500.0,chalet,224.0,4,3,37.036711,-2.7445026,"calle Carlos Mendoza, 14"
19500.0,chalet,90.0,3,1,37.3332558,-2.3027401,"calle del Carmen, 10"
19800.0,chalet,166.0,3,1,37.1694872,-2.8376032,calle Olila
19900.0,chalet,90.0,4,1,37.3305423,-2.3061146,calle San Miguel
19900.0,duplex,250.0,5,2,37.6883143,-2.0964892,"calle Federico de Motos, 17"
20000.0,chalet,140.0,2,1,37.2860015,-2.1821558,"calle Real, 19 -15"
20000.0,chalet,37.0,2,0,37.3948834,-1.7435771,Pulpi
20000.0,chalet,60.0,3,1,37.2983595,-1.8811855,Cuevas del Almanzora
