Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
8800.0,flat,47.0,1,1,36.6861264,-6.146958,calle Nueva
8900.0,flat,73.0,3,1,36.6736109,-6.129893,plaza Platillos
8900.0,flat,73.0,3,1,36.6738328,-6.1296065,Barrio San Telmo - Federico Mayo - El Porta
9000.0,countryHouse,82.0,2,1,36.9261035,-5.5442695,"calle de la Fuente del Pecho, 30"
10500.0,chalet,59.0,1,1,36.9258905,-5.5443559,calle Sevilla
12000.0,flat,34.0,1,1,36.4610754,-5.721346,calle Atahona
12000.0,flat,34.0,1,1,36.4627381,-5.7228465,calle Atahona
12000.0,studio,44.0,0,0,36.6896471,-6.1517591,Barrio Santiago - Coronación
13000.0,flat,86.0,3,1,36.1260548,-5.454324,Saladillo - La Piñera
13500.0,flat,58.0,2,1,36.685706,-6.1472042,calle Nueva
14000.0,flat,74.0,3,1,36.6873159,-6.1432807,calle Nueva
15000.0,chalet,39.0,1,1,36.1302032,-5.4606875,calle Logroño
15000.0,flat,56.0,2,1,36.6931506,-6.1526093,calle Juan Pecador
16000.0,flat,56.0,2,1,36.69238,-6.1528808,calle Micaela Parada
16000.0,chalet,45.0,2,1,36.1335687,-5.458475,calle Ávila
16100.0,studio,73.0,0,0,36.6760105,-6.1305653,plaza Platillos
16100.0,flat,54.0,1,1,36.6707216,-6.1363913,calle Pedro Sepúlveda
16600.0,chalet,52.0,2,1,36.91999,-5.54422,Puerto Serrano
17000.0,chalet,38.0,2,1,36.1307911,-5.4587111,calle Valladolid
17000.0,flat,56.0,2,1,36.69277,-6.1526934,calle Micaela Parada
17000.0,flat,63.0,3,1,36.1235599,-5.4542909,calle Miño
17000.0,chalet,35.0,2,1,36.3701731,-6.152789,Las Lagunas - Campano
17100.0,flat,110.0,4,2,36.6984413,-6.1357449,calle Federico García Lorca
17250.0,flat,56.0,2,1,36.689523,-6.1531465,calle Micaela Parada
17250.0,flat,56.0,2,1,36.690123,-6.1528465,calle Micaela Parada
17250.0,flat,45.0,2,1,36.6916493,-6.1528685,Barrio Santiago - Coronación
18000.0,chalet,70.0,2,1,36.1344438,-5.4580472,calle Huesca
18100.0,flat,60.0,2,1,36.1198546,-5.4549792,calle Miño
18100.0,flat,40.0,1,1,36.1298038,-5.4604236,calle Burgos
18500.0,chalet,60.0,1,1,36.7462257,-5.8024475,"callejas, 9"
19000.0,chalet,152.0,0,2,36.9257968,-5.5439078,"calle de la Fuente del Pecho, 1"
19600.0,chalet,91.0,3,2,36.1344364,-5.4553135,calle Albacete
20000.0,chalet,26.0,1,0,36.4210793,-6.1387027,La Banda - Campo de Fútbol
20000.0,flat,79.0,3,1,36.6742499,-6.1304214,"plaza tamboril, 9"
20000.0,chalet,66.0,2,1,36.4553669,-5.7264122,A-2236
20000.0,chalet,106.0,2,2,36.1302548,-5.4578538,calle Santa María Micaela
20000.0,chalet,106.0,2,2,36.1311441,-5.4609743,calle Santa María Micaela
20000.0,flat,60.0,3,1,36.1220479,-5.4531974,calle Duero
20000.0,chalet,59.0,2,1,36.1322756,-5.4575776,calle Valladolid
20000.0,chalet,43.0,2,1,36.1723628,-5.3457656,calle la Giralda
20000.0,chalet,75.0,2,1,36.4620456,-5.7193182,Alcalá de los Gazules
20000.0,chalet,55.0,1,1,36.7462258,-5.8024476,"calle Callejas, 9"
21000.0,studio,25.0,0,1,36.747086,-5.8027332,"calle Martín Montero, 46"
21000.0,flat,47.0,3,1,36.6061466,-6.2227488,calle Nuestra Señora de Regla
21000.0,flat,44.0,3,1,36.6897389,-6.1498771,calle Micaela Parada
22000.0,chalet,50.0,2,1,36.7460246,-5.8031089,"calle Jesus Nazareno, 18"
22000.0,flat,77.0,4,1,36.6986226,-6.1435211,calle Cepa
22000.0,flat,50.0,2,1,36.6901215,-6.1519466,calle Doctor Girón Segura 1
22000.0,chalet,48.0,1,1,36.130112,-5.4582349,calle Valladolid
22000.0,flat,77.0,4,1,36.6981677,-6.1450974,calle Cepa
22500.0,flat,56.0,2,1,36.692299,-6.1518412,Barrio Santiago - Coronación
22500.0,duplex,45.0,3,1,36.6902449,-6.1497255,calle Micaela Parada
22999.0,countryHouse,44.0,2,1,36.85488,-5.32352,"calle alta, 1"
23000.0,flat,39.0,2,1,36.6934206,-6.1466339,avenida del Amontillado
23000.0,flat,69.0,3,1,36.6709265,-6.1305425,calle Amistad
23900.0,flat,58.0,3,1,36.6064206,-6.2235592,"calle Virgen de los Remedios, 1"
24000.0,flat,50.0,1,1,36.6858317,-6.1475014,calle Nueva
24000.0,flat,50.0,2,1,36.6943017,-6.1466919,calle Alván
24000.0,flat,78.0,3,1,36.207467,-5.4151313,Ensenada Miraflores
24000.0,flat,78.0,3,1,36.2096558,-5.4124382,Ensenada Miraflores
24000.0,chalet,59.0,1,1,36.1258023,-5.4584988,Saladillo - La Piñera
24000.0,flat,57.0,3,1,36.1263708,-5.4542205,calle Mediterráneo
24000.0,flat,43.0,3,1,36.6061428,-6.2247492,calle Nuestra Señora de la Caridad
24000.0,flat,29.0,2,1,36.7497338,-5.8202799,calle Cañada de la Feria
24000.0,chalet,59.0,2,1,36.1279699,-5.4561961,Saladillo - La Piñera
24000.0,chalet,115.0,2,1,36.9280654,-5.5428429,avenida Guadalete
24000.0,flat,35.0,1,1,36.1290214,-5.4560569,calle Ciudad Real
24000.0,chalet,58.0,5,1,36.1192464,-5.4760101,travesía del Cobre
24500.0,chalet,55.0,2,1,36.6768942,-6.1388144,Barrio Torresoto - Agrimensor
25000.0,flat,69.0,3,1,36.6725439,-6.1308826,"plaza OBOE, 46"
25000.0,chalet,169.0,3,2,36.1256626,-5.4547207,Saladillo - La Piñera
25000.0,flat,40.0,1,1,36.6696591,-5.4475403,calle Jilguero
25000.0,flat,51.0,3,1,36.6957578,-6.1492626,calle la Cartagenera
25000.0,chalet,46.0,2,1,36.1305104,-5.4596382,calle Lérida
25000.0,chalet,95.0,2,1,36.8565399,-5.6440668,"calle Juan Ramón Jiménez, 37"
25500.0,chalet,130.0,3,1,36.7881558,-5.5581479,Prado del Rey
25500.0,chalet,130.0,3,1,36.7857499,-5.5601499,calle San Sebastián
25800.0,flat,53.0,6,1,36.696484,-6.1474303,calle Farruca
25800.0,flat,54.0,3,1,36.6960667,-6.1491999,Barrio Santiago - Coronación
26000.0,flat,40.0,2,1,36.6046701,-6.2216424,calle Nuestra Señora de Regla
26000.0,chalet,64.0,3,1,36.1330081,-5.4606194,calle Teruel
26000.0,flat,85.0,1,1,36.2087481,-5.4144062,Ensenada Miraflores
26000.0,chalet,61.0,2,1,36.9153642,-5.2331673,avenida Setenil s/n
