Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
22500000.0,countryHouse,4322.0,9,8,36.2934608,-5.3334475,Barrio La Reserva
22500000.0,chalet,4232.0,9,9,36.2984878,-5.3289278,Barrio La Reserva
18000000.0,chalet,3850.0,18,22,36.2752709,-5.335639,Barrio Zona F
18000000.0,chalet,280.0,3,3,36.2766767,-5.3131684,Sotogrande Costa
15000000.0,chalet,2100.0,7,7,36.2715323,-5.3464342,calle Grazalema s/n
13450000.0,chalet,2173.0,7,8,36.2850233,-5.2902913,Sotogrande Costa
12000000.0,chalet,2534.0,7,8,36.2995976,-5.3226855,Barrio La Reserva
11400000.0,chalet,2041.0,6,7,36.300966,-5.3248688,Barrio La Reserva
11400000.0,chalet,2801.0,8,8,36.2928727,-5.3353322,Barrio La Reserva
11400000.0,chalet,2808.0,8,11,36.2795439,-5.2932837,Av/ La Reserva
11400000.0,chalet,2808.0,6,9,36.2871822,-5.3285294,carretera de Arenillas
11400000.0,chalet,2041.0,6,7,36.2992318,-5.3276426,Barrio La Reserva
11400000.0,countryHouse,2809.0,8,9,36.2982663,-5.3236915,Barrio La Reserva
11400000.0,chalet,2756.0,6,7,36.2922774,-5.3331964,Barrio La Reserva
9900000.0,chalet,1013.0,6,6,36.2372782,-5.3162575,calle de la Villa Real
9900000.0,chalet,368.0,6,6,36.2383206,-5.3142289,avenida del Mediterráneo
9800000.0,chalet,1195.0,5,6,36.2972555,-5.3257447,Lugar Sotogrande
9800000.0,chalet,1367.0,5,6,36.2950866,-5.3334512,Barrio La Reserva
9800000.0,chalet,761.0,6,6,36.2946265,-5.3226402,Lugar Sotogrande
9500000.0,chalet,1500.0,8,9,36.2791699,-5.342103,Barrio Zona F
9500000.0,chalet,1500.0,8,9,36.2734297,-5.3432073,calle Formentera
9028639.0,chalet,35234.0,1,1,36.1113736,-5.4607134,calle de Carretera Cobre
8800000.0,chalet,1544.0,8,12,36.2886061,-5.3463191,Barrio Valderrama
8800000.0,chalet,1906.0,6,10,36.2935283,-5.336214,Barrio La Reserva
8800000.0,chalet,1544.0,8,8,36.2864858,-5.3433572,Barrio Valderrama
8800000.0,chalet,1906.0,6,8,36.2935547,-5.3361727,Barrio La Reserva
8800000.0,chalet,1432.0,6,8,36.2699467,-5.3451414,"calle Granada, 2 -16"
8800000.0,chalet,1545.0,8,8,36.2836431,-5.3386269,calle Soto Alto
8800000.0,chalet,1047.0,6,8,36.2954124,-5.338222,avenida Reserva
8800000.0,chalet,1742.0,8,12,36.2802979,-5.3147888,"Sotogrande Alto, Valderrama"
8800000.0,chalet,2087.0,6,8,36.2783507,-5.2924258,"calle Fernando el Santo, 12"
8800000.0,countryHouse,1906.0,6,7,36.2927891,-5.3370426,Barrio La Reserva
8800000.0,countryHouse,1742.0,8,9,36.2884918,-5.3458895,Barrio Valderrama
8800000.0,chalet,1545.0,8,9,36.2832321,-5.3434186,Barrio Valderrama
8800000.0,chalet,1906.0,6,6,36.29271,-5.3330537,Barrio La Reserva
8800000.0,chalet,1544.0,8,8,36.2843248,-5.3301925,Barrio Valderrama
8800000.0,countryHouse,1742.0,8,8,36.285301,-5.3419081,Barrio Valderrama
8500000.0,countryHouse,600.0,6,6,36.30479,-5.29257,"calle San Enrique de Guadiaro, 1"
8500000.0,countryHouse,450.0,4,4,36.3062575,-5.2926821,San Enrique-Guadiaro-Pueblo Nuevo
8500000.0,chalet,1500.0,8,10,36.2898443,-5.294827,"calle Ramiro el Monje, 15"
7000000.0,countryHouse,3800.0,1,14,36.4228183,-6.128436,La Banda - Campo de Fútbol
6950000.0,chalet,1420.0,5,5,36.2855517,-5.3030777,paseo del Parque
6950000.0,chalet,1445.0,5,5,36.2850907,-5.3009021,"paseo del Parque, 169"
6950000.0,countryHouse,1200.0,7,7,36.3413054,-5.3183795,San Martín del Tesorillo
6800000.0,chalet,1400.0,6,7,36.2787916,-5.3155122,alto Sotogrande
6750000.0,chalet,600.0,5,6,36.3186709,-5.4543712,Castellar de la Frontera
6700000.0,chalet,1518.0,5,7,36.2967073,-5.3417219,Barrio La Reserva
6700000.0,chalet,1518.0,5,7,36.2927244,-5.3355233,Barrio La Reserva
6700000.0,chalet,824.0,6,6,36.2706824,-5.3476061,Barrio Almenara
6700000.0,chalet,1518.0,5,6,36.2965551,-5.3407686,Lugar Sotogrande
6700000.0,chalet,1518.0,5,7,36.2975402,-5.3406024,Barrio La Reserva
6390000.0,chalet,1373.0,6,6,36.2838046,-5.345658,"calle Guadalquivir, 16 -24"
6300000.0,chalet,1242.0,4,6,36.2936286,-5.3323889,Barrio La Reserva
6300000.0,countryHouse,1200.0,7,7,36.3399434,-5.3203769,San Martín del Tesorillo
6300000.0,countryHouse,1000.0,7,7,36.3750498,-5.394702,Arroyo La Morisca
6300000.0,chalet,784.0,4,7,36.2972616,-5.3401932,calle Maravillas
6300000.0,chalet,949.0,4,4,36.2846939,-5.3169249,carretera de Arenillas
6300000.0,chalet,720.0,4,4,36.2974274,-5.3429906,calle Maravillas
6300000.0,chalet,720.0,4,4,36.2978181,-5.3368814,Barrio La Reserva
6200000.0,chalet,753.0,6,6,36.2790451,-5.2977235,"calle Duarte de Portugal, 3"
6000000.0,countryHouse,1733.0,8,7,36.33249,-5.34358,San Martín del Tesorillo
6000000.0,chalet,941.0,5,5,36.2762213,-5.294034,paseo del Parque s/n
6000000.0,countryHouse,100.0,9,3,36.932349,-5.2080142,Olvera
5950000.0,chalet,1180.0,6,6,36.2865675,-5.3322423,"calle Escorial, 19 -9"
5950000.0,chalet,1180.0,6,6,36.2866484,-5.3321923,"calle Escorial, 11"
5950000.0,chalet,1180.0,6,6,36.2859616,-5.3295921,Barrio Valderrama
5950000.0,chalet,1180.0,6,6,36.2882712,-5.3326118,Barrio Valderrama
5950000.0,chalet,962.0,8,9,36.2717061,-5.3559166,Gaucin
5900000.0,chalet,900.0,6,9,36.2928408,-5.3355738,Barrio La Reserva
5900000.0,chalet,761.0,6,4,36.2865799,-5.3299835,calle Escorial
5750000.0,chalet,1753.0,6,6,36.2932209,-5.3280955,limonar
5750000.0,chalet,1600.0,6,6,36.2947053,-5.3334426,Barrio La Reserva
5750000.0,chalet,1950.0,6,6,36.2931073,-5.3247837,Barrio La Reserva
5750000.0,chalet,1780.0,6,6,36.2927715,-5.3271627,calle Limonar
5750000.0,chalet,1800.0,6,6,36.2918755,-5.3329602,calle Laurel
5750000.0,chalet,1800.0,6,6,36.2883518,-5.2787096,Puerto de Sotogrande-La Marina
5750000.0,chalet,1800.0,6,6,36.2922504,-5.3330033,Barrio La Reserva
5750000.0,chalet,1754.0,6,6,36.2912792,-5.3332006,Barrio La Reserva
5750000.0,chalet,1950.0,6,7,36.2944984,-5.3274334,calle Limonar
5550000.0,chalet,1370.0,8,10,36.2854684,-5.3462978,alto Guadaira 10 Sotogrande
5500000.0,chalet,683.0,5,5,36.2823785,-5.2891494,Sotogrande Costa
5500000.0,chalet,1753.0,6,5,36.2918952,-5.3296242,calle Limonar
5500000.0,chalet,541.0,5,4,36.0991134,-5.8158284,avenida Cabo de Plata H66/H66A
5500000.0,chalet,1008.0,6,6,36.272306,-5.3460588,Barrio Almenara
5300000.0,chalet,603.0,11,11,36.0968899,-5.8147364,"Atlanterra Playa, 33 B"
5250000.0,chalet,1240.0,7,7,36.2838926,-5.3184691,"calle Cervantes, 21"
5200000.0,chalet,1032.0,7,6,36.2778654,-5.3331241,calle Faisan
5200000.0,chalet,1032.0,7,7,36.2788287,-5.3281282,Barrio Zona F
5200000.0,chalet,1032.0,7,6,36.2783884,-5.3413388,Barrio Zona F
5200000.0,chalet,1032.0,7,6,36.2785503,-5.3304045,Barrio Zona F
5200000.0,chalet,1032.0,7,7,36.2760855,-5.3334177,calle Faisán
5200000.0,chalet,1032.0,7,7,36.2762677,-5.333005,calle Faisan
5200000.0,chalet,1260.0,7,7,36.2784521,-5.3291473,calle Faisán
5200000.0,chalet,1032.0,7,7,36.2878186,-5.278621,Puerto de Sotogrande-La Marina
5200000.0,chalet,1032.0,7,7,36.2792937,-5.3388985,Barrio Zona F
5200000.0,chalet,1032.0,6,6,36.27979,-5.3307127,Barrio Zona F
5200000.0,chalet,1032.0,6,6,36.2775235,-5.3342304,Barrio Zona F
5200000.0,chalet,1032.0,7,6,36.2790201,-5.335686,Barrio Zona F
5060000.0,chalet,1255.0,6,6,36.2841403,-5.3414435,Barrio Valderrama
5060000.0,chalet,2041.0,7,7,36.2900022,-5.2790089,Puerto de Sotogrande-La Marina
5060000.0,chalet,1009.0,6,8,36.2838472,-5.3382581,"calle Soto Alto, 1"
5060000.0,chalet,1255.0,7,9,36.2836305,-5.3399831,calle Soto Alto
5060000.0,chalet,1010.0,7,8,36.2842029,-5.3377671,calle Soto Alto
5060000.0,countryHouse,1255.0,7,7,36.2845289,-5.3419044,Barrio Valderrama
5060000.0,chalet,1068.0,6,7,36.2837868,-5.3436462,Barrio Valderrama
5060000.0,chalet,1094.0,6,7,36.2864717,-5.343519,Barrio Valderrama
5000000.0,chalet,689.0,5,5,36.29567,-5.32438,"Lugar Sotogrande, 7"
