Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
4500.0,chalet,45.0,2,2,37.614289,-4.3311211,calle Benito Lastres
9500.0,chalet,75.0,3,1,37.2307936,-4.2565133,Iznajar
9500.0,chalet,90.0,2,1,38.13292,-4.80055,"calle Cerrillo, 11"
9900.0,chalet,90.0,2,1,37.6128515,-4.3261037,calle Alta Molinos
9900.0,chalet,60.0,2,1,38.3015683,-5.2654158,calle Médico Eladio León Marcos
10000.0,chalet,140.0,3,1,38.2101973,-5.3057988,"calle Iglesia, 2"
10000.0,chalet,65.0,2,1,37.6142356,-4.3332625,"calle Alamillo, 4"
11000.0,flat,79.0,3,1,37.3910234,-4.7770286,cuesta Vitas
12000.0,chalet,36.0,2,1,37.867499,-4.7742513,calle Sanchuelo
12000.0,chalet,90.0,1,1,38.4079737,-4.5044722,"calle Cerrillo, 16"
12000.0,chalet,54.0,2,1,38.2957355,-5.2631926,Peñarroya-Pueblonuevo
12500.0,flat,100.0,2,1,37.8859993,-4.7919483,calle Villa de Rota
13000.0,chalet,59.0,1,1,38.2695974,-5.4211191,calle Pozuelos
13000.0,countryHouse,125.0,4,1,38.26616,-5.42188,"calle Barlucero, 58"
14000.0,countryHouse,139.0,4,1,38.2647935,-5.4161905,Fuente Obejuna
14000.0,flat,62.0,2,1,37.7984303,-5.1017561,calle la Carlota
14000.0,chalet,30.0,1,0,37.3173923,-4.2558341,"Del Pilar, 2"
14100.0,flat,59.0,2,1,38.0266192,-4.3820472,calle Santos Isasa
14400.0,chalet,61.0,2,1,37.8673747,-4.7711654,calle Motamid
14500.0,chalet,224.0,3,2,38.0224293,-4.3838453,calle Llana
14500.0,flat,52.0,1,1,37.7015654,-5.2798796,"calle Llano Santa Ana, 1"
14500.0,flat,52.0,3,1,37.7017416,-5.2801129,"calle Fruta, 1"
15000.0,flat,91.0,3,2,37.6975214,-5.2747989,calle Venezuela
15000.0,chalet,100.0,2,1,38.4225688,-5.0460753,"calle Fuente del Tejar, 13"
15000.0,chalet,146.0,4,1,37.6154335,-4.3308394,calle Enrique de las Morenas
15000.0,countryHouse,179.0,1,1,37.51093,-4.14981,Fuente-Tojar
15000.0,flat,65.0,2,1,38.4962195,-5.1452607,"calle Malvinas, 10"
15000.0,countryHouse,150.0,0,0,38.45568,-4.9856299,"calle Real, 24"
15100.0,flat,52.0,3,1,37.701408,-5.2796946,"calle Sevillana, 2 -8"
15300.0,flat,52.0,3,1,37.7017416,-5.2801129,"calle Fruta, 1"
15700.0,flat,52.0,3,1,37.7016576,-5.2800631,"calle Fruta, 1"
16000.0,flat,104.0,3,1,37.6130881,-4.3336024,"plaza Diamantino García Acosta, 7"
16000.0,countryHouse,70.0,2,1,38.1921515,-5.0193981,calle Serranas s/n
16000.0,countryHouse,85.0,1,1,37.9427337,-4.4967837,"calle Nueva, 45"
16200.0,flat,69.0,3,1,37.3956705,-4.7591694,"calle Murcia, 4"
16300.0,flat,54.0,3,1,37.4710024,-4.5827177,calle del Santo Cristo
16600.0,chalet,104.0,2,1,37.55856,-4.2804399,"Berrejalos, 46"
16800.0,flat,51.0,2,1,37.8659704,-4.776521,calle Punta Umbría
17000.0,flat,47.0,2,1,37.4119655,-4.4814362,calle Álamos
17000.0,flat,54.0,2,1,37.4732367,-4.5807471,calle del Padre Manjón
17000.0,chalet,70.0,1,1,38.20185,-5.15082,"calle Doctor Collantes, 58"
17100.0,flat,52.0,3,1,37.7015965,-5.2797702,"calle Llano Santa Ana, 2"
17200.0,flat,72.0,2,1,37.411192,-4.4907874,calle Mediabarba
17600.0,flat,103.0,1,1,38.0266797,-4.3821182,"calle Antonio Garijo, 4"
18000.0,flat,47.0,2,1,37.3873251,-4.7655213,plaza Jesús Nazareno
18000.0,chalet,170.0,4,1,38.2677356,-5.4188897,"calle UmbrÍa, 5"
18100.0,flat,66.0,3,1,37.4062952,-4.4978439,camino Zuheros
18500.0,chalet,66.0,2,1,37.5112459,-4.6616439,calle Ancha
19000.0,studio,46.0,0,1,37.868333,-4.7800405,pasaje de Belalcázar
19000.0,flat,60.0,3,1,37.70124,-5.27901,"avenida del Greco, 1"
19000.0,chalet,146.0,3,1,37.8006233,-5.1084915,"calle Francisco de Quevedo, 10"
19000.0,flat,64.0,2,1,37.4095236,-4.4956004,camino Zuheros
19700.0,chalet,38.0,2,1,37.8639766,-4.7698644,calle Sanchuelo
20000.0,chalet,265.0,1,0,37.2335385,-4.2563034,Iznajar
20000.0,flat,57.0,2,1,37.8616056,-4.7790863,calle Motril
20000.0,chalet,41.0,1,1,37.8647239,-4.7701398,calle Motamid
20000.0,chalet,180.0,4,1,37.4997059,-4.2159533,Priego de Córdoba
20000.0,flat,51.0,1,1,37.8667936,-4.7763012,calle Algeciras
20000.0,chalet,85.0,3,1,38.2695015,-5.2078001,calle Viriato
20000.0,flat,53.0,2,1,37.4415578,-4.1976919,calle Juan XXIII
20000.0,chalet,100.0,2,1,38.500653,-5.1453754,"calle Caños Verdes, 44"
20000.0,chalet,220.0,4,1,38.4540985,-4.9823993,"Manuel Gómez Caballero, 32"
21000.0,chalet,39.0,1,1,37.8638711,-4.7715419,calle Sanchuelo
21000.0,flat,48.0,2,1,37.7990663,-5.1016728,calle la Carlota
21000.0,flat,57.0,1,1,37.8623684,-4.7781907,calle Motril
21000.0,chalet,151.0,4,1,37.7999261,-5.1063059,"calle Teodoro Dominguez, 4"
21000.0,chalet,106.0,3,1,37.5566879,-4.277877,Luque
21000.0,chalet,98.0,3,1,38.2687177,-5.2090511,Belmez
21900.0,flat,54.0,3,1,37.4144026,-4.4905405,calle Ntra. Sra. de Araceli
21900.0,flat,54.0,3,1,37.4109695,-4.490098,calle Ejido Plaza de Toros
22000.0,flat,61.0,2,2,37.7997795,-5.1016206,Posadas
22000.0,chalet,138.0,4,2,37.4737128,-4.5736047,calle el llano
22000.0,flat,58.0,2,1,37.4068078,-4.4883144,calle la Calzada
22000.0,chalet,63.0,2,1,38.2962367,-5.2602329,calle Puente
22000.0,chalet,43.0,1,0,37.3899392,-4.7718576,Puente Genil
22000.0,chalet,56.0,1,0,37.4373772,-4.2021161,Priego de Córdoba
22230.0,chalet,104.0,2,1,37.2693508,-4.5387364,calle Carrera
22500.0,chalet,108.0,2,2,37.6155353,-4.3317355,calle Benito Lastres
22900.0,chalet,91.0,2,1,37.6137176,-4.3345856,"calle San Francisco, 12"
23000.0,chalet,104.0,3,1,37.6152411,-4.332555,calle Benito Lastres
23000.0,chalet,113.0,3,1,37.4364748,-4.6097842,calle Cordoba
23000.0,chalet,73.0,2,1,37.6794922,-4.5544503,calle Federico García Lorca
23000.0,chalet,59.0,2,1,37.6769668,-4.9323361,La Carlota
23000.0,chalet,96.0,5,2,37.3243595,-4.3676331,calle San Bartolomé
23000.0,countryHouse,86.0,3,1,37.9310953,-4.411136,"calle morente, 11"
23000.0,chalet,70.0,3,0,38.1915101,-5.0199355,calle Alegria s/n
23100.0,flat,76.0,2,1,38.1237127,-4.8990091,Poligono Pp Industrial 3
23120.0,flat,67.0,1,1,37.4094562,-4.4957565,calle Corazón de Jesús
23500.0,chalet,62.0,2,1,37.8301111,-4.9634564,Almodovar del Río
23500.0,countryHouse,145.0,3,1,38.5958565,-4.9040942,"calle Real, 32"
23800.0,chalet,191.0,4,1,37.614293,-4.3323148,"calle Blas de Luque, 9"
23900.0,chalet,137.0,2,1,38.2681043,-5.4189034,Fuente Obejuna
24000.0,countryHouse,90.0,1,0,38.0269106,-4.3849696,Montoro
24000.0,chalet,198.0,2,1,37.4077386,-4.4153595,calle Egido
24500.0,chalet,49.0,3,1,38.0247482,-4.3836938,Montoro
24760.0,flat,54.0,3,1,37.3281747,-4.3662874,"calle Colón, 13"
24900.0,chalet,212.0,8,3,38.2980312,-5.257393,travesía Garibaldi
25000.0,chalet,77.0,2,1,37.6158407,-4.3308576,Baena
25000.0,flat,57.0,3,1,37.8609986,-4.7763256,calle Motril
25000.0,chalet,108.0,3,2,38.3138818,-5.2793943,calle Maldonado
25000.0,chalet,100.0,3,1,37.6174951,-4.3303738,calle Barbado
25000.0,countryHouse,120.0,4,2,38.1450909,-5.3478858,"calle San Antonio, 23"
25000.0,chalet,60.0,1,1,37.733829,-4.6314346,Barrio Sector sur - Santa Cruz
25000.0,countryHouse,122.0,3,1,38.1794335,-5.3584683,"calle Duque De Rivas, 9"
25000.0,chalet,178.0,3,2,37.3270621,-4.3692299,"calle Pedro Gómez, 30"
25000.0,chalet,46.0,3,1,37.50066,-4.21431,"calle Bajondillo, 24"
25000.0,chalet,120.0,4,3,37.8952969,-4.3842347,"calle Benito de Lara, 9"
25000.0,flat,50.0,2,1,37.4076439,-4.4823231,calle Lademora
25000.0,chalet,120.0,4,1,38.26717,-5.42344,"calle Nueva, 9"
25000.0,countryHouse,41.0,2,1,38.3906678,-4.9957633,camino Mohinos s/n
25000.0,countryHouse,400.0,5,1,38.4556159,-4.9863795,"calle Real, 33"
25000.0,countryHouse,120.0,2,1,38.3264808,-4.6300457,"calle alfonso vii, 9"
25000.0,chalet,85.0,4,1,38.4756891,-4.6803,"calle Olivo, 9"
25200.0,chalet,86.0,3,1,37.3266648,-4.3723834,Rute
25200.0,chalet,119.0,3,2,37.6161188,-4.3330459,calle Crespo
25200.0,chalet,119.0,3,2,37.6161127,-4.3335773,calle Crespo
