Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
10300000.0,countryHouse,750.0,10,10,37.7897826,-2.7227981,Castril
5500000.0,chalet,7478.0,16,15,37.3417299,-3.7391172,Colomera
5303000.0,countryHouse,300.0,4,2,37.79785,-2.7851824,Castril
5000000.0,chalet,1055.0,10,4,36.7459686,-3.5970735,Centro
4950000.0,chalet,900.0,4,4,36.7331239,-3.7370794,Barrio La Herradura
4900000.0,chalet,674.0,8,10,36.7514496,-3.6177149,Urbanizacion Costa Aguilera Norte
4250000.0,countryHouse,500.0,8,4,36.996684,-4.0110022,Alhama de Granada
3750000.0,chalet,1079.0,8,8,36.7452895,-3.5859986,avenida 28 de Febrero
3495000.0,chalet,1400.0,19,19,36.8156747,-3.6963906,Lugar Cazulas
3495000.0,countryHouse,1362.0,17,17,36.8150954,-3.6809247,Otivar
3000000.0,chalet,310.0,6,5,37.1796311,-3.5955313,"calle Tiña, 2 -4"
3000000.0,chalet,310.0,6,5,37.1816003,-3.595658,calle Tiña
3000000.0,countryHouse,540.0,5,5,36.9190583,-3.4808126,La Rabitilla
3000000.0,chalet,310.0,6,5,37.1784172,-3.5969793,calle Tiña
3000000.0,chalet,310.0,6,5,37.1807107,-3.5956876,Albaicín
3000000.0,chalet,310.0,6,5,37.1794281,-3.5956093,Albaicín
3000000.0,chalet,310.0,6,5,37.179159,-3.5973687,Albaicín
3000000.0,chalet,310.0,6,5,37.17971,-3.5954814,"calle Tiña, 4"
3000000.0,chalet,310.0,6,5,37.1797867,-3.5934808,calle Tiña
3000000.0,chalet,310.0,6,5,37.1803173,-3.5938585,Albaicín
3000000.0,chalet,310.0,6,5,37.1787449,-3.596279,Albaicín
3000000.0,chalet,310.0,6,5,37.1786617,-3.5949229,Albaicín
3000000.0,chalet,310.0,6,5,37.1804796,-3.5940054,Albaicín
3000000.0,chalet,54000.0,5,1,36.9161342,-3.4801697,Lanjaron
3000000.0,countryHouse,582.0,8,6,37.8076655,-2.5383344,Huéscar
2999990.0,chalet,800.0,1,0,37.1826932,-3.5781682,calle Santo Sepulcro del Sacromonte
2999990.0,chalet,800.0,5,2,37.181691,-3.5842223,camino del Sacromonte s/n
2999990.0,chalet,800.0,5,3,37.1820683,-3.5864207,camino del Sacromonte s/n
2999900.0,chalet,600.0,15,9,37.1810344,-3.5933971,callejón de San Nicolás s/n
2999000.0,chalet,390.0,5,3,37.1793697,-3.5802675,camino del Sacromonte
2995000.0,countryHouse,250.0,7,3,37.3907949,-3.5185777,calle los Pinos
2900000.0,chalet,1723.0,11,9,36.7499815,-3.6134067,calle Almendros
2700000.0,chalet,439.0,5,4,36.722835,-3.7362221,camino de la Torre
2700000.0,chalet,404.0,5,4,36.7360382,-3.7211774,Cotobro
2700000.0,chalet,439.0,5,4,36.7351919,-3.7209305,calle la Torre
2700000.0,chalet,484.0,4,3,36.7348098,-3.7111168,calle Bajada del Mar
2700000.0,chalet,484.0,4,3,36.7354788,-3.7141396,Cotobro
2600000.0,chalet,1513.0,15,15,37.1773252,-2.9481536,Huéneja
2525000.0,chalet,896.0,5,6,36.7380545,-3.6729304,"Alclub, 9"
2500000.0,chalet,408.0,5,5,37.1250737,-3.5732575,La Zubia
2500000.0,chalet,1428.0,11,7,37.1236185,-3.5857434,"calle Laurel de la Reina, 13"
2500000.0,chalet,1428.0,11,7,37.1236185,-3.5857434,"calle Laurel de la Reina, 13"
2500000.0,chalet,1428.0,11,7,37.1251032,-3.5858221,calle Laurel de la Reina
2500000.0,chalet,369.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2500000.0,chalet,336.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2500000.0,chalet,700.0,11,7,37.1088962,-3.5900293,"calle Alcazaba, 2"
2500000.0,chalet,829.0,11,7,37.1219106,-3.5867606,calle Laurel de la Reina
2500000.0,chalet,310.0,6,5,37.1788981,-3.5965388,Albaicín
2500000.0,chalet,418.0,7,3,36.7439276,-3.5917297,Centro
2500000.0,chalet,374.0,5,5,36.744879,-3.6140339,Urbanizacion Costa Aguilera Norte
2500000.0,chalet,700.0,11,7,37.1249508,-3.5856146,La Zubia
2500000.0,chalet,700.0,8,3,37.1246296,-3.585125,La Zubia
2500000.0,countryHouse,400.0,12,2,36.921114,-3.4094505,via sin nombre s/n
2490000.0,chalet,1000.0,6,5,36.7214153,-3.7338546,Barrio Punta La Mona
2490000.0,chalet,1009.0,6,5,36.722451,-3.7341907,camino de la Ermita
2490000.0,chalet,367.0,4,3,36.7310891,-3.7356633,calle el Salao
2450000.0,chalet,292.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2400000.0,chalet,291.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2400000.0,countryHouse,46001.0,1,1,37.167909,-4.151674,CORTIJO LA BARRAGANA s/n
2400000.0,countryHouse,46001.0,1,1,37.1658235,-4.1525477,Loja
2400000.0,countryHouse,46000.0,1,1,37.167752,-4.153785,Loja
2400000.0,chalet,398.0,5,6,36.750037,-3.7656184,Barrio Los Cármenes - Cerro Gordo
2400000.0,countryHouse,46001.0,1,1,37.1700999,-4.1505634,Loja
2390000.0,chalet,412.0,5,7,36.7355126,-3.7189066,"Tenis, 21"
2350000.0,chalet,1025.0,4,4,36.7216585,-3.7314288,camino de la Torre
2200000.0,chalet,479.0,6,7,37.3732534,-3.7138266,Colomera
2200000.0,chalet,350.0,2,2,37.0020414,-3.2680001,Trevélez
2100000.0,chalet,292.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2050000.0,chalet,329.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2000000.0,chalet,1800.0,12,8,37.1878785,-3.7202391,"er extrarradio, 10"
2000000.0,countryHouse,170.0,4,2,36.7637075,-3.53455,Diseminado las Angustias s/n
2000000.0,chalet,400.0,5,5,36.7201963,-3.5588975,Playa Granada
1999000.0,chalet,941.0,8,3,37.4917141,-2.773433,plaza Mayor
1990000.0,chalet,291.0,6,4,36.7351329,-3.6735265,calle la Romántica
1990000.0,chalet,288.0,4,3,36.7378862,-3.6752198,Velilla - Velilla Taramay
1950000.0,chalet,292.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
1950000.0,chalet,386.0,6,2,37.1730699,-3.6103381,camino De Purchil s/n
1950000.0,chalet,386.0,6,2,37.1705393,-3.6363064,camino De Purchil
1950000.0,chalet,386.0,6,2,37.1736637,-3.6079602,Barrio Ronda - Arabial
1950000.0,chalet,386.0,6,2,37.1722155,-3.6351568,camino de Purchil s/n
1950000.0,chalet,386.0,6,2,37.1719992,-3.6339191,camino De Purchil
1950000.0,chalet,386.0,6,2,37.1711513,-3.6109699,Barrio Ronda - Arabial
1950000.0,chalet,400.0,8,3,37.1683906,-3.682821,Vegas del Genil
1930000.0,chalet,702.0,4,5,36.7380545,-3.6729304,"Alclub, 9"
1900000.0,chalet,620.0,7,6,37.1740955,-3.5985355,"plaza del Carmen, 3"
1900000.0,chalet,479.0,6,7,37.3713198,-3.7152322,calle Alonso Rivas
1900000.0,chalet,479.0,6,7,37.3731666,-3.7124742,calle Alonso Rivas
1900000.0,chalet,479.0,6,6,37.3713433,-3.7122099,Parecela
1900000.0,chalet,479.0,6,7,37.3769764,-3.6987913,Colomera
1900000.0,chalet,479.0,6,7,37.3712146,-3.7156825,calle Alonso Rivas
1900000.0,chalet,479.0,6,7,37.4066475,-3.7313052,Colomera
1900000.0,chalet,479.0,6,7,37.3710492,-3.7155966,Colomera
1890000.0,chalet,306.0,5,2,36.7225922,-3.7307746,Barrio Punta La Mona
1850000.0,chalet,570.0,9,9,37.1769753,-3.5929037,Albaicín
1850000.0,chalet,500.0,7,6,36.7426731,-3.7038758,Cotobro
1800000.0,chalet,943.0,5,6,37.2524292,-3.6466653,"calle Guadalquivir, 11 -1"
1800000.0,chalet,797.0,5,6,37.2509322,-3.6467846,"Vía, 11"
1800000.0,chalet,622.0,7,5,37.1827,-3.5913925,Albaicín
1800000.0,chalet,798.0,5,6,37.2528456,-3.6465331,"calle Guadalquivir, 11"
1800000.0,chalet,661.0,5,6,36.7313181,-3.7300572,carretera de la Playa
1750000.0,chalet,1000.0,6,6,37.1678909,-3.6681066,Urbanización la Romana
1750000.0,chalet,474.0,5,6,36.7309353,-3.7276605,calle Ruiseñor
1750000.0,chalet,505.0,5,6,36.7276755,-3.7307486,Barrio Punta La Mona
1750000.0,chalet,300.0,4,3,36.7470656,-3.7458066,Mezquita s/n
1750000.0,chalet,379.0,4,3,36.7306849,-3.7276391,calle Ruiseñor
1750000.0,chalet,379.0,4,3,36.7299195,-3.7284082,calle Ruiseñor
1750000.0,chalet,505.0,5,6,36.7343435,-3.7357465,Barrio La Herradura
1750000.0,chalet,300.0,4,3,36.7331092,-3.7394637,Barrio La Herradura
1750000.0,chalet,379.0,4,3,36.7303449,-3.7304342,Barrio Punta La Mona
1745000.0,chalet,427.0,7,6,36.7443242,-3.6715341,calle Citalmar
1700000.0,chalet,269.0,4,4,36.747374,-3.6336907,Urbanización Alfa Mar
1700000.0,countryHouse,23233.0,6,3,36.7473462,-3.5897657,Centro
1695000.0,chalet,390.0,4,5,36.7339429,-3.7322885,avenida de los Profesionales Sanitarios s/n
1695000.0,chalet,372.0,4,6,36.7339429,-3.7322885,avenida de los Profesionales Sanitarios s/n
1695000.0,chalet,310.0,6,4,36.7341338,-3.7364813,calle Obispo
1695000.0,chalet,300.0,4,5,36.7339429,-3.7322885,avenida de los Profesionales Sanitarios s/n
1690000.0,chalet,528.0,6,6,36.7232519,-3.7335497,Barrio Punta La Mona
