Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
9000.0,chalet,239.0,1,1,37.4465005,-6.3647246,vereda de Huevar
9999.0,chalet,64.0,1,0,37.8939602,-6.7497338,"calle Angel Marquez, 6"
10800.0,flat,97.0,2,1,37.6957382,-6.5523159,calle Calvario
11000.0,chalet,80.0,1,1,37.696783,-6.5503004,Nerva
11000.0,chalet,60.0,2,1,37.94573,-6.95371,"calle Torres, 8"
12000.0,duplex,130.0,4,2,37.2714354,-7.0228476,"NUEVA, 25"
14000.0,chalet,34.0,0,0,37.9436991,-6.9544649,"Cuesta, 3"
14900.0,chalet,78.0,2,1,37.786532,-6.879074,"Valdelamusa, 38"
15000.0,flat,55.0,2,1,37.6939234,-6.5545087,"Barriada San José Obrero, 6"
15200.0,flat,54.0,1,1,37.6921366,-6.6302017,"calle Don Manuel Centeno, 8 -16"
15500.0,countryHouse,80.0,3,2,37.9458966,-6.9555175,"calle Cota, 12"
16000.0,chalet,40.0,1,0,37.8556547,-6.7362333,"Lugar la Corte, 20"
17500.0,chalet,65.0,3,1,37.7398028,-7.3477212,Paymogo
17800.0,chalet,65.0,3,1,37.74113,-7.34814,Paymogo
17800.0,chalet,65.0,3,1,37.7396106,-7.3462001,"calle Nueva, 24"
18000.0,countryHouse,50.0,2,0,37.9522137,-6.8322659,"San Antonio de Padua, 14"
18000.0,countryHouse,82.0,1,0,37.9346943,-6.6247623,Cortelazor
18000.0,countryHouse,70.0,1,1,37.9356316,-6.6236228,Cortelazor
18000.0,chalet,94.0,2,1,38.0644189,-6.645,"calle Castillo Amparo, 7"
18000.0,countryHouse,47.0,2,0,37.8584251,-6.7363532,"desconocida, 21"
20000.0,countryHouse,41.0,1,0,37.8961013,-6.7017322,Castaño del Robledo
20000.0,countryHouse,32.0,1,0,37.8723167,-6.7875489,"Regadera, 68"
20000.0,flat,55.0,2,1,37.6939234,-6.5545087,"Barriada San José Obrero, 8"
21000.0,flat,73.0,1,1,37.2751768,-6.9330549,calle Margarita
21000.0,flat,73.0,1,1,37.275927,-6.9322051,calle Margarita
21000.0,chalet,65.0,0,0,37.6924385,-6.5921291,"calle Manuel de Fallo, 45"
21600.0,chalet,94.0,2,1,38.0127358,-6.5240292,calle el Riscal
22500.0,chalet,100.0,2,2,37.63988,-6.73862,"calle Buit Abajo, 9"
23000.0,flat,52.0,2,1,37.2594132,-6.9271512,calle Río Tajo
24000.0,flat,55.0,3,1,37.2588719,-6.9253737,calle Río Guadalquivir
24000.0,countryHouse,120.0,4,2,37.72718,-7.08587,"calle Coso, 48"
24000.0,flat,65.0,3,1,37.9129223,-6.8189239,"Barriada Nuestra Señora de la Piedad, 4"
24000.0,flat,56.0,3,1,37.6940645,-6.5548856,"Barriada San José obrero, 1"
24000.0,chalet,90.0,0,0,37.69777,-6.55246,"calle Marqués de Nerva, 33"
24200.0,chalet,48.0,3,1,37.6911645,-6.5924822,calle Santa Barbara
25000.0,countryHouse,271.0,2,1,38.0142613,-6.5264606,"calle el Riscal, 8"
26000.0,flat,62.0,3,1,37.2767705,-6.947763,avenida de Cristóbal Colón
26000.0,chalet,160.0,3,2,37.9049428,-6.2205682,calle Daoíz y Velarde
26000.0,chalet,107.0,2,1,37.9187997,-6.7284412,Jabugo
26000.0,chalet,75.0,2,1,37.946185,-6.9542495,"calle Nueva San Juan, 9"
26500.0,countryHouse,35.0,1,0,37.8890827,-6.7590357,Los Pilatos s/n
26500.0,countryHouse,143.0,7,0,38.0144259,-6.5250942,"calle el Riscal, 37"
27000.0,chalet,106.0,3,2,37.9177373,-6.5442183,"calle Nueva, 8 -10"
27000.0,countryHouse,150.0,6,1,37.9071256,-6.229819,"avenida de Extremadura, 4"
28000.0,countryHouse,174.0,3,1,37.7657527,-6.5756799,"calle Jacinto Nuñez, 9"
28000.0,countryHouse,20.0,0,0,37.9240375,-6.7068914,Galaroza
28000.0,chalet,100.0,2,1,37.6962077,-6.5505161,"calle Rábida, 7"
28000.0,countryHouse,60.0,3,1,37.6924581,-6.5911545,"calle Garcia Lorca, 6"
29000.0,flat,85.0,2,2,37.6988291,-6.550744,avenida de la Reú
29000.0,flat,76.0,3,1,37.6884554,-6.5936424,avenida Ricardo Baroja
29000.0,countryHouse,65.0,0,0,37.9414455,-6.6101339,Cortelazor
29000.0,countryHouse,46.0,2,1,37.967,-6.858,"calle de la Constitución, 21"
29580.0,flat,48.0,2,1,37.2509747,-7.2073574,avenida de Blas Infante
29700.0,flat,67.0,3,1,37.2528028,-7.1993713,calle Pablo VI s/n
30000.0,flat,65.0,3,1,37.2759252,-6.9342018,La Hispanidad - Verdeluz
30000.0,flat,70.0,3,1,37.254047,-7.1955701,calle Canarias
30000.0,countryHouse,116.0,2,0,37.9293937,-6.7073242,calle San Sebastian
30000.0,countryHouse,150.0,4,1,37.8926061,-6.8056619,"carretera del Almacen, 65"
30000.0,countryHouse,200.0,0,0,38.0648243,-6.6427901,"calle Amparo, 28"
30000.0,chalet,95.0,3,1,37.68041,-6.66209,"calle la Iglesia, 35"
30000.0,flat,42.0,1,1,37.0073088,-6.5581471,"Sector H, 63"
31000.0,countryHouse,800.0,0,0,37.3881,-6.43042,"calle Villalba, 1"
31000.0,chalet,33.0,1,1,37.9378851,-6.6005307,"calle Dado (Corterrangel), 5"
32500.0,chalet,80.0,3,1,37.6141792,-6.9104567,Calañas
33000.0,countryHouse,118.0,4,1,38.01435,-6.5262399,"calle el Riscal, 9"
33000.0,chalet,54.0,1,1,37.6937128,-6.628621,"Cordoba, 14"
33000.0,chalet,181.0,4,1,37.5045238,-7.2720726,calle Ventilla
33000.0,countryHouse,220.0,0,0,37.9339345,-6.6249399,Cortelazor
33000.0,countryHouse,80.0,3,1,37.7137411,-6.8558725,"C/la real, 5"
33000.0,chalet,60.0,1,1,37.6961295,-6.6325822,"calle Córdoba, 14"
33900.0,chalet,73.0,2,1,38.13598,-6.8744,"calle San Andrēs, 43"
34000.0,chalet,68.0,1,1,37.3848203,-6.8380081,calle Primero de Mayo
34000.0,chalet,68.0,1,1,37.3864717,-6.8393082,calle Primero de Mayo
34000.0,countryHouse,40.0,2,1,37.5722571,-7.3995093,"las cantinas, 18"
34200.0,flat,68.0,2,1,37.2711885,-6.9361671,calle Mateo Alemán
34200.0,flat,68.0,3,1,37.2689082,-6.9373191,La Hispanidad - Verdeluz
34500.0,countryHouse,120.0,1,0,37.9215614,-6.8066836,Unnamed Road s/n
34682.0,flat,96.0,3,1,37.2525239,-7.1990208,calle Canarias
34682.0,flat,70.0,2,1,37.2529013,-7.1987711,Lepe
34700.0,flat,68.0,3,1,37.2698719,-6.9364158,calle Mateo Alemán s/n
35000.0,chalet,69.0,3,1,37.8926103,-6.4763149,HV-3102
35000.0,chalet,162.0,3,1,37.9064992,-6.2331259,"calle España, 10"
35000.0,chalet,114.0,2,1,37.7116937,-6.8740318,calle Tharsis
35000.0,countryHouse,147.0,3,2,37.9023441,-6.6266869,calle Barrio Alto
35000.0,countryHouse,72.0,3,1,37.5244246,-7.4930019,"Puerto La Laja, 1"
35000.0,countryHouse,25.0,1,1,37.3870113,-6.5476797,calle Hinojos
35000.0,countryHouse,112.0,5,1,37.9280199,-6.7081,"calle San Sebastian, 17"
35000.0,countryHouse,100.0,4,1,38.0071268,-6.5885934,"calle el Patrás, 38"
35000.0,chalet,100.0,0,0,37.8310581,-6.3382579,"calle barranco, 3"
35000.0,chalet,140.0,3,1,37.9059929,-6.232775,"calle Hermanos Quíntero, 22"
36000.0,countryHouse,66.0,3,1,37.9371472,-6.5811828,"calle la Plaza, 139"
36000.0,flat,71.0,2,1,37.2844156,-7.1568199,calle Harina
36000.0,flat,47.0,1,1,37.2207419,-7.4045565,calle Granaitos
36000.0,countryHouse,58.0,1,1,37.6027302,-7.118512,"Tharsis, 44"
36000.0,chalet,95.0,3,1,37.6553136,-6.878853,callejón Tahona Fleming
36000.0,flat,47.0,1,1,37.220014,-7.4071338,calle Granaitos
36000.0,countryHouse,61.0,3,1,37.892039,-6.5626239,"calle Mejías, 22"
37000.0,countryHouse,216.0,4,1,38.1333561,-6.8724738,"calle Conde, 25"
37000.0,chalet,84.0,3,2,37.9137968,-6.8229751,calle Orégano
37000.0,chalet,84.0,3,2,37.9138944,-6.823252,calle Orégano
37000.0,chalet,79.0,1,1,37.8328298,-6.3408868,"Del medio, 8 y 10"
37500.0,chalet,118.0,2,1,37.9150199,-6.72962,Jabugo
37600.0,chalet,76.0,3,2,37.2590734,-7.203318,"calle Covadonga, 29 -1"
37900.0,flat,90.0,3,2,37.3888159,-6.4272025,calle Benafique
38000.0,chalet,152.0,3,1,37.409745,-6.3924289,"calle Manzanilla, 32"
38000.0,flat,88.0,3,1,37.2820505,-6.938751,calle Gonzalo de Berceo
38000.0,chalet,108.0,3,1,38.0253497,-6.4216508,"calle Grande, 30"
38200.0,flat,73.0,3,1,37.2767411,-6.9481991,calle Antonio Rengel s/n
38900.0,chalet,75.0,3,1,38.0788837,-6.7430299,Cumbres de San Bartolomé
39000.0,countryHouse,50.0,1,1,37.7659395,-6.6173664,"Aldea Ventas de Arriba, 68"
39000.0,countryHouse,50.0,2,1,37.90599,-6.21999,"calle Doctor Porras, 43"
39000.0,countryHouse,92.0,1,0,37.9341051,-6.626522,Cortelazor
39200.0,flat,72.0,3,2,37.3312025,-6.5380077,cl pendique 31 es:3 pl:01 pt:c 21710 bollullos par del condado (huelva)
39200.0,flat,80.0,3,1,37.3739665,-6.9717137,Gibraleon
39500.0,countryHouse,45.0,1,1,37.9375462,-6.6003654,"calle sin Salida, 51"
39500.0,chalet,115.0,3,1,37.908698,-6.2230953,calle Daoíz y Velarde
39500.0,chalet,115.0,3,1,37.9068608,-6.2213493,calle Daoíz y Velarde
39500.0,chalet,102.0,3,1,37.8614672,-6.5154865,calle Manuel Domínguez Soriano
39600.0,chalet,104.0,2,1,37.76677,-6.57371,"Agustin Mora, 8"
39600.0,chalet,104.0,2,1,37.7657314,-6.5754024,Agustin Mora
39900.0,countryHouse,100.0,6,2,37.8911002,-6.559672,"Convento, 7"
40000.0,chalet,96.0,2,1,37.9041546,-6.2328006,Santa Olalla del Cala
40000.0,flat,50.0,3,1,37.6531301,-6.8787988,Calañas
40000.0,flat,68.0,2,1,37.269888,-6.940889,calle Salvador Rueda
40000.0,chalet,128.0,0,0,37.927592,-6.7071325,Galaroza
40000.0,flat,65.0,3,1,37.2748494,-6.9482193,"avenida de la Raza, 7"
40000.0,chalet,118.0,2,1,37.92972,-6.70692,Galaroza
40000.0,flat,72.0,3,1,37.2739211,-6.934376,"avenida De Las Flores, 21005"
40000.0,flat,72.0,3,1,37.2739211,-6.934376,"avenida De Las Flores, 21005"
40000.0,chalet,111.0,3,1,38.1332535,-6.8658569,"calle Ollero, 39"
40000.0,chalet,80.0,3,2,37.9460896,-6.9549382,"calle Zanja, 9"
40000.0,countryHouse,120.0,5,1,37.7136754,-6.5819897,via Princesa s/n
41000.0,chalet,84.0,3,2,37.9138828,-6.8228707,calle Hinojo
41000.0,chalet,84.0,3,2,37.9147893,-6.8238029,calle Hinojo
41000.0,chalet,84.0,3,2,37.9161494,-6.823559,calle Hinojo
41600.0,chalet,186.0,3,1,37.7957425,-7.1899656,calle Corralada Alta
41600.0,chalet,186.0,3,1,37.7969551,-7.1886667,calle Corralada Alta
41700.0,flat,120.0,2,3,37.5748151,-6.753411,calle Jesús y María
42000.0,flat,60.0,2,1,37.2581482,-7.1998157,calle Río Segre
42000.0,chalet,64.0,1,1,37.2598333,-7.1985302,avenida de Huelva
42000.0,chalet,85.0,3,2,37.9136331,-6.8228497,calle Orégano
42000.0,chalet,85.0,3,2,37.916623,-6.8225045,calle Orégano
42000.0,countryHouse,98.0,3,1,37.9309385,-6.6728593,HV-3113 s/n
42000.0,flat,160.0,2,1,37.6972564,-6.5498365,"avenida de la Reú, 30"
42000.0,chalet,150.0,5,1,37.76806,-6.57313,"plaza de la constitucion, 5"
42100.0,flat,68.0,2,1,37.2670123,-6.9413872,calle Concepción Rodríguez Garzón
42700.0,flat,69.0,3,1,37.2771625,-6.9489648,calle Tres Carabelas
42800.0,flat,84.0,3,1,37.1977754,-7.3133119,calle Faneca
42800.0,chalet,70.0,2,1,37.2009687,-7.3230539,avenida España
42800.0,flat,78.0,3,1,37.2002212,-7.3127589,Isla Cristina
42900.0,flat,82.0,3,1,37.2815803,-7.1486009,avenida de el Rompido
42900.0,flat,52.0,3,1,37.2571674,-6.9273851,"calle Río Júcar, 3"
43000.0,countryHouse,170.0,5,2,37.6105696,-6.67754,"Aldea el Pozuelo, 88"
43500.0,flat,59.0,2,1,37.2754493,-6.9478239,avenida de la Raza s/n
43500.0,flat,59.0,2,1,37.2759421,-6.9467305,San Antonio
43600.0,flat,68.0,2,2,37.2531628,-7.2015574,Lepe
44000.0,chalet,61.0,1,1,37.39529,-6.47619,"calle Santa Maria, 37"
44000.0,chalet,176.0,3,1,37.9694631,-6.3180722,Cala
44000.0,chalet,220.0,3,1,37.6599837,-6.5760231,"avenida Andalucía, 6"
44500.0,countryHouse,35.0,1,0,37.9656765,-6.739892,"carretera N-435, 126"
45000.0,flat,83.0,4,2,37.2726628,-6.9327826,La Hispanidad - Verdeluz
45000.0,countryHouse,88.0,3,1,37.91832,-6.5443917,"plaza Altozano, 14"
45000.0,chalet,63.0,3,1,37.6927452,-6.5962863,Minas de Rio Tinto s/n
45000.0,chalet,154.0,3,1,37.9746845,-6.3187472,avenida Virgen de Cala
45000.0,chalet,180.0,3,1,38.0137471,-6.5242971,Cañaveral de Leon
45000.0,flat,64.0,3,1,37.2581465,-6.9315102,Isla Chica
45000.0,chalet,74.0,2,1,37.65301,-6.87718,Calañas
45000.0,countryHouse,90.0,3,1,37.69644,-6.59107,"calle ramon y cajal, 13"
45000.0,countryHouse,45.0,1,1,38.0631915,-6.6464309,camino de La Dehesa de Abajo s/n sn
45000.0,chalet,101.0,3,1,37.677981,-6.6577416,"calle piel de la sierra, 62"
45000.0,countryHouse,10000.0,1,2,38.0153241,-6.5264424,Cañaveral de Leon
45000.0,chalet,120.0,3,2,38.0639312,-6.642339,"calle amparo, 2"
45000.0,flat,63.0,3,1,37.9274033,-6.7714383,"calle Cervantes, 13"
45000.0,countryHouse,63.0,3,1,37.7333824,-6.9383581,"El Cerro, 3"
45000.0,chalet,82.0,2,2,37.6927305,-6.6294608,"calle Antonio Machado, 74"
45000.0,countryHouse,45.0,0,0,37.2148512,-7.4045362,"calle Piedra, 46"
46000.0,countryHouse,125.0,4,1,38.0281371,-6.4230541,"calle San Sebastián, 41"
46100.0,flat,77.0,3,1,37.2828471,-7.1490094,avenida de el Rompido s/n
46100.0,flat,77.0,3,1,37.2805649,-7.150515,Cartaya pueblo
47000.0,flat,84.0,2,1,37.2016776,-7.3147968,calle Galeón
47000.0,chalet,85.0,3,2,37.9152437,-6.8210256,calle Orégano
47000.0,chalet,85.0,3,2,37.9157384,-6.8209982,calle Orégano
47000.0,flat,69.0,3,1,37.2661036,-6.928807,avenida Honduras
47000.0,chalet,85.0,3,2,37.9131833,-6.8218055,calle Orégano
47000.0,countryHouse,80.0,2,1,37.5997941,-7.1216582,"calle Luciano Escobar, 7"
47500.0,chalet,75.0,3,1,37.62996,-7.0279193,calle Antonio machado
47731.0,flat,56.0,2,1,37.2530423,-7.2039509,calle Fuentes
48000.0,flat,88.0,2,1,37.2947683,-6.3805174,calle Cooperativa
48000.0,countryHouse,178.0,4,1,37.87944,-6.6212,"calle Dominguez Becerra, 16"
