Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
3525.0,chalet,70.0,2,1,36.7145139,-5.2500922,"MA-8400, 3"
6200.0,chalet,35.0,1,1,36.7352616,-5.2525411,avenida Andalucía
8000.0,countryHouse,14.0,2,1,36.78835,-4.94554,"plaza de la Villa, 8"
10000.0,countryHouse,120.0,0,0,37.0367777,-4.5923819,Cortijo la Dehesilla s/n
16000.0,flat,88.0,3,1,36.8328287,-4.2271014,calle Correo
18000.0,countryHouse,28.0,1,1,36.9328268,-4.6832477,"Calvario, 1"
18600.0,chalet,64.0,3,1,37.1882954,-4.4509592,calle Jaen
18600.0,chalet,64.0,3,1,37.1889009,-4.4526611,calle Jaen
18900.0,chalet,37.0,2,1,36.731292,-4.6173309,Estación
20000.0,countryHouse,166.0,4,1,36.6160908,-5.3433205,"calle Alcantarilla, 23 N"
20000.0,chalet,60.0,1,0,36.843369,-4.270172,Paraje Los Ventorros s/n
22000.0,flat,51.0,2,1,36.7398507,-4.4280383,calle Antonio María Isola
22000.0,chalet,99.0,3,1,37.1102766,-4.7014747,Barrio el Loro
24000.0,countryHouse,54.0,2,1,36.8550144,-4.0242401,Salares
25000.0,countryHouse,40.0,2,1,36.5509866,-5.2768122,"calle Toledillo, 176"
25000.0,flat,50.0,3,1,36.741937,-4.4282164,calle Francisco Carter s/n
25000.0,chalet,98.0,3,1,36.7007834,-4.6969423,calle el Muro
25000.0,chalet,77.0,3,1,36.6450674,-4.6862195,calle Muro s/n
25000.0,flat,49.0,3,1,36.7426159,-4.4260835,calle Doctor Jiménez Díaz
25000.0,flat,49.0,3,1,36.7399396,-4.4272113,calle Doctor Jiménez Díaz
26000.0,countryHouse,36.0,1,1,36.8655958,-4.4642482,"MA-3101, 17 Km"
27000.0,chalet,97.0,3,1,37.1276961,-4.8657487,calle Doctor Fleming
27000.0,chalet,30.0,1,1,36.9004546,-4.4448764,"calle Pedro Salinas, 20"
28000.0,chalet,56.0,0,1,36.6472929,-4.6873272,"cruz de san roque, 19"
28000.0,chalet,140.0,0,0,36.9528613,-5.0238851,"calle Francisco Arjona, 22"
28700.0,flat,50.0,3,1,36.740632,-4.4256137,calle Francisco Carter
29000.0,flat,80.0,3,1,36.7415915,-4.4322318,calle Ebro
