Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
6900.0,chalet,70.0,1,1,37.6540825,-5.711666,calle Santander
7000.0,chalet,112.0,1,1,37.7754509,-5.3887241,calle Pozo
10000.0,chalet,76.0,2,0,36.9744078,-5.2192559,"calle Miguel Sanchez, 72"
10000.0,chalet,46.0,1,0,36.9755257,-5.2216549,calle Miguel Sanchez
10853.0,flat,72.0,3,1,37.3578238,-5.9699537,"calle El Mago de Oz, 3"
11000.0,flat,38.0,2,1,37.3631166,-6.034936,calle Venezuela
11000.0,flat,38.0,2,1,37.3620873,-6.0366325,calle Venezuela
12000.0,flat,71.0,3,1,37.3572423,-5.9704988,calle Padre José Sebastián Bandarán
12000.0,flat,46.0,2,1,37.3631085,-6.0329055,calle Bolivia
12000.0,flat,40.0,2,1,37.3837937,-5.8969157,calle Manzano
12000.0,chalet,75.0,1,1,37.0813115,-5.6353533,calle San Francisco s/n
13000.0,countryHouse,23.0,2,0,37.1204043,-5.4432617,calle Ginés
13000.0,flat,46.0,1,1,37.360361,-6.034103,calle Venezuela
13000.0,flat,46.0,1,1,37.3604839,-6.0365774,calle Venezuela
13800.0,chalet,49.0,2,1,37.3847886,-5.8977059,"calle Acanto, 2"
13900.0,flat,48.0,1,1,37.3843338,-5.9038204,calle Nogal
13900.0,flat,48.0,1,1,37.385503,-5.9017972,calle Nogal
14000.0,flat,48.0,2,1,37.3850097,-5.9001121,calle Pino
14000.0,chalet,48.0,2,1,37.3837136,-5.8981456,calle Manzano
14000.0,flat,48.0,2,1,37.3831873,-5.902212,calle Pino
14000.0,flat,113.0,3,1,37.8762561,-5.6207154,Constantina
14300.0,chalet,57.0,1,1,37.65233,-5.71912,"calle San Mateo, 6"
15000.0,flat,48.0,2,1,37.3845651,-5.9004604,calle Abedul
15000.0,flat,48.0,2,1,37.3823655,-5.8989861,calle Abedul
15000.0,flat,48.0,2,1,37.3843406,-5.9006135,calle Pino
15000.0,countryHouse,25.0,1,1,37.3377019,-5.8757945,"carretera Alcalá-Dos Hermanas, 2 km"
15000.0,chalet,60.0,1,1,37.7365196,-6.2969344,El Castillo de las Guardas
16000.0,flat,44.0,1,1,37.382268,-5.9012603,calle Cedro
16000.0,flat,53.0,3,1,37.3844573,-5.9558507,calle Cráter
17000.0,flat,48.0,3,1,37.3846813,-5.9017158,calle Abedul
17500.0,chalet,55.0,3,1,37.6538563,-5.7216734,"Blas Infante, 148"
17850.0,flat,108.0,1,1,37.6553605,-5.7270736,Blas Infante
17850.0,flat,195.0,1,1,37.6557899,-5.72016,Barriada Blas Infante
17850.0,chalet,108.0,3,1,37.6549834,-5.7208562,Blas Infante
