Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
9000000.0,countryHouse,472.0,11,8,37.1092535,-5.4571111,Moron de la Frontera
8000000.0,chalet,1725.0,14,10,37.3856373,-5.989227,Barrio Santa Cruz - Alfalfa
7800000.0,chalet,1800.0,14,10,37.3877027,-5.9981986,Barrio Arenal - Museo - Tetuán
7000000.0,countryHouse,3525.0,7,7,38.0224088,-5.7808598,Guadalcanal
5700000.0,chalet,1870.0,18,11,37.3812068,-5.9686548,Barrio Nervión
5500000.0,countryHouse,502.0,6,3,37.0171054,-5.3836411,Diseminado Gaena
5500000.0,countryHouse,3000.0,12,7,37.2766274,-5.9270958,"plaza de España, 1"
5000000.0,countryHouse,2869.0,10,5,37.1974263,-5.2364201,La Puebla de Cazalla
4950000.0,chalet,990.0,4,6,37.3891577,-5.9887727,calle Boteros
4900000.0,countryHouse,1000.0,10,3,37.1115554,-5.1056713,A-451 s/n
4500000.0,chalet,1150.0,14,9,37.3854471,-5.9995662,Barrio Arenal - Museo - Tetuán
4500000.0,chalet,1025.0,12,7,37.3865031,-5.9907137,Barrio Santa Cruz - Alfalfa
4200000.0,countryHouse,1235.0,9,7,37.3431393,-6.0893563,camino de Bollullos
4000000.0,penthouse,400.0,3,2,37.389235,-5.9999651,"calle Julio César, 1"
4000000.0,penthouse,248.0,3,4,37.3892925,-5.9983822,Barrio Arenal - Museo - Tetuán
3800000.0,chalet,7700.0,4,2,37.3186392,-5.8470781,Oromana
3700000.0,chalet,886.0,10,8,37.386301,-5.9899141,Barrio Santa Cruz - Alfalfa
3500000.0,flat,459.0,4,5,37.3776611,-5.9981396,Barrio Plaza de Cuba - República Argentina
3250000.0,chalet,445.0,7,4,37.3922408,-5.9967584,"SILENCIO, 5"
3200000.0,countryHouse,1000.0,9,2,37.4471512,-5.6663153,Carmona
3000000.0,chalet,450.0,5,4,37.3869983,-5.997305,calle velarde
2980000.0,flat,234.0,5,4,37.3791932,-5.9866122,calle Diego de Riaño
2800000.0,countryHouse,300.0,5,4,37.2374215,-5.102958,Osuna
2750000.0,chalet,850.0,6,5,37.3621811,-6.0661963,El Zaudín - Club de Golf
2700000.0,chalet,1157.0,4,7,37.327198,-5.8987576,Torrequinto
2600000.0,chalet,968.0,8,9,37.3653967,-6.0620705,avenida los Sauces
2600000.0,chalet,304.0,10,10,37.3946109,-6.0001111,Barrio Plaza de la Gavidia-San Lorenzo
2600000.0,chalet,968.0,6,8,37.3669531,-6.0618442,"avenida los Sauces, 26"
2550000.0,countryHouse,1259.0,11,12,36.9661328,-5.4386086,camino Morón a Montellano
